game_id,date,start_time,home_team,away_team,home_score,away_score,home_score_1h_x,away_score_1h_x,home_score_2h_x,away_score_2h_x,neutral_site,venue,status,home_score_m,away_score_m,home_score_1h_m,away_score_1h_m,home_score_2h_m,away_score_2h_m,pred_total,pred_margin,market_total,spread_home,actual_total,actual_margin,ats_result,ou_result_full,home_score_1h_y,away_score_1h_y,home_score_2h_y,away_score_2h_y,home_score_bs,away_score_bs,home_score_1h,away_score_1h,home_score_2h,away_score_2h,actual_total_1h,actual_total_2h
401827631,2026-01-18,2026-01-18 23:30:00+00:00,Houston Cougars,Arizona State Sun Devils,103,73,56,29,47,44,False,Fertitta Center,,0,0,,,,,157.14111328125,24.00416374206543,142.5,-18.5,176,30,Home Cover,Over,,,,,103.0,73.0,56.0,29.0,47.0,44.0,85.0,91.0
401828181,2026-01-18,2026-01-18 17:00:00+00:00,Temple Owls,Florida Atlantic Owls,73,79,34,30,39,49,False,Liacouras Center,,73,79,34.0,30.0,39.0,49.0,141.6885528564453,0.947646141052246,151.5,1.5,152,-6,Away Cover,Over,34.0,30.0,39.0,49.0,73.0,79.0,34.0,30.0,39.0,49.0,64.0,88.0
401825454,2026-01-18,2026-01-18 17:00:00+00:00,Maryland Terrapins,Penn State Nittany Lions,96,73,56,26,40,47,False,XFINITY Center,,96,73,56.0,26.0,40.0,47.0,97.62459411621094,13.6929141998291,148.0,-2.5,169,23,Home Cover,Over,56.0,26.0,40.0,47.0,96.0,73.0,56.0,26.0,40.0,47.0,82.0,87.0
401826819,2026-01-18,2026-01-18 18:00:00+00:00,Army Black Knights,American University Eagles,67,78,26,33,41,45,False,Christl Arena,,67,78,26.0,33.0,41.0,45.0,141.55299377441406,-0.691765308380127,,,145,-11,Away Cover,Under,26.0,33.0,41.0,45.0,67.0,78.0,26.0,33.0,41.0,45.0,59.0,86.0
401828184,2026-01-18,2026-01-18 19:00:00+00:00,South Florida Bulls,Wichita State Shockers,85,86,36,37,41,40,False,Yuengling Center,,85,86,36.0,37.0,41.0,40.0,142.95428548177082,2.4984660657246907,156.0,-7.5,171,-1,Away Cover,Over,36.0,37.0,41.0,40.0,85.0,86.0,36.0,37.0,49.0,49.0,73.0,98.0
401828180,2026-01-18,2026-01-18 19:00:00+00:00,East Carolina Pirates,Charlotte 49ers,70,73,33,45,37,28,False,Minges Coliseum,,70,73,33.0,45.0,37.0,28.0,141.7698974609375,1.931293249130249,143.5,2.0,143,-3,Away Cover,Under,33.0,45.0,37.0,28.0,70.0,73.0,33.0,45.0,37.0,28.0,78.0,65.0
401817630,2026-01-18,2026-01-18 19:00:00+00:00,Green Bay Phoenix,Oakland Golden Grizzlies,63,88,31,37,32,51,False,Resch Center,,63,88,31.0,37.0,32.0,51.0,141.7065022786458,-4.771184492111206,159.5,4.5,151,-25,Away Cover,Under,31.0,37.0,32.0,51.0,63.0,88.0,31.0,37.0,32.0,51.0,68.0,83.0
401817629,2026-01-18,2026-01-18 19:00:00+00:00,Purdue Fort Wayne Mastodons,Milwaukee Panthers,100,82,48,40,52,42,False,Memorial Coliseum (IN),,100,82,48.0,40.0,52.0,42.0,98.75933227539062,7.876673030853271,148.0,-3.5,182,18,Home Cover,Over,48.0,40.0,52.0,42.0,100.0,82.0,48.0,40.0,52.0,42.0,88.0,94.0
401843145,2026-01-18,2026-01-18 20:00:00+00:00,Eastern Illinois Panthers,Blackburn Beavers,105,49,53,26,52,23,False,Groniger Arena,,105,49,53.0,26.0,52.0,23.0,143.36964416503906,21.276348114013672,,,154,56,Away Cover,Under,53.0,26.0,52.0,23.0,105.0,49.0,53.0,26.0,52.0,23.0,79.0,75.0
401828179,2026-01-18,2026-01-18 20:00:00+00:00,UAB Blazers,Tulsa Golden Hurricane,77,99,37,46,40,53,False,Bartow Arena,,77,99,37.0,46.0,40.0,53.0,95.02658233642578,-3.461673450469971,159.0,-2.0,176,-22,Away Cover,Over,37.0,46.0,40.0,53.0,77.0,99.0,37.0,46.0,40.0,53.0,83.0,93.0
401828183,2026-01-18,2026-01-18 22:00:00+00:00,Tulane Green Wave,North Texas Mean Green,63,71,30,35,33,36,False,Devlin Fieldhouse,,17,22,17.0,22.0,,,141.71566772460938,1.275528907775879,133.5,-2.0,134,-8,Away Cover,Over,17.0,22.0,,,63.0,71.0,30.0,35.0,33.0,36.0,65.0,69.0
401828182,2026-01-18,2026-01-18 23:00:00+00:00,Memphis Tigers,UTSA Roadrunners,95,69,43,33,52,36,False,FedExForum,,0,0,,,,,148.5936737060547,21.92818260192871,147.5,-20.0,164,26,Home Cover,Over,,,,,95.0,69.0,43.0,33.0,52.0,36.0,76.0,88.0
401829207,2026-01-18,2026-01-19 00:00:00+00:00,San Francisco Dons,Washington State Cougars,85,80,48,44,37,36,False,The Sobrato Center,,0,0,,,,,147.25054931640625,-1.6395249366760254,146.0,-5.5,165,5,Away Cover,Over,,,,,85.0,80.0,48.0,44.0,37.0,36.0,92.0,73.0
