game_id,date,start_time,home_team,away_team,home_score,away_score,home_score_1h_x,away_score_1h_x,home_score_2h_x,away_score_2h_x,neutral_site,venue,status,completed,home_score_m,away_score_m,status_m,home_score_1h_m,away_score_1h_m,home_score_2h_m,away_score_2h_m,pred_total,pred_margin,market_total,spread_home,actual_total,actual_margin,ats_result,ou_result_full,home_score_1h_y,away_score_1h_y,home_score_2h_y,away_score_2h_y,home_score_bs,away_score_bs,home_score_1h,away_score_1h,home_score_2h,away_score_2h,actual_total_1h,actual_total_2h
401851759,2026-03-09,2026-03-10 01:00:00+00:00,Gonzaga Bulldogs,Oregon State Beavers,65,56,38,24,27,32,True,Orleans Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,134.23208607991535,21.78858598073324,145.5,-19.5,121,9,Away Cover,Under,,,,,65.0,56.0,38.0,24.0,27.0,32.0,62.0,59.0
401851760,2026-03-09,2026-03-10 03:45:00+00:00,Saint Mary's Gaels,Santa Clara Broncos,71,76,35,32,36,44,True,Orleans Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,151.59140014648438,24.9468994140625,147.5,-4.0,147,-5,Away Cover,Under,,,,,71.0,76.0,35.0,32.0,36.0,44.0,67.0,80.0
401851714,2026-03-09,2026-03-09 18:00:00+00:00,Alabama State Hornets,Alcorn State Braves,65,77,31,32,34,45,True,Gateway Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,136.09173583984375,1.956669330596924,141.5,-6.5,142,-12,Away Cover,Over,,,,,65.0,77.0,31.0,32.0,34.0,45.0,63.0,79.0
401856431,2026-03-09,2026-03-09 22:00:00+00:00,Monmouth Hawks,Campbell Fighting Camels,74,64,30,24,44,40,True,CareFirst Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,142.21676635742188,-7.619971752166748,153.5,-2.5,138,10,Home Cover,Under,,,,,74.0,64.0,30.0,24.0,44.0,40.0,54.0,84.0
401851607,2026-03-09,2026-03-09 22:00:00+00:00,Texas A&M-Corpus Christi Islanders,New Orleans Privateers,74,61,37,30,37,31,True,Townsley Law Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,141.7234344482422,8.729438781738281,142.0,-3.5,135,13,Home Cover,Under,,,,,74.0,61.0,37.0,30.0,37.0,31.0,67.0,68.0
401851706,2026-03-09,2026-03-09 23:00:00+00:00,Troy Trojans,Georgia Southern Eagles,77,61,38,25,39,36,True,Pensacola Bay Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,143.71005249023438,5.748316287994385,151.5,-6.5,138,16,Home Cover,Under,,,,,77.0,61.0,38.0,25.0,39.0,36.0,63.0,75.0
401851593,2026-03-09,2026-03-09 23:00:00+00:00,East Tennessee State Buccaneers,Furman Paladins,61,76,35,42,26,34,True,Harrah's Cherokee Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,144.31594848632812,-3.6682748794555664,139.5,-1.5,137,-15,Away Cover,Under,,,,,61.0,76.0,35.0,42.0,26.0,34.0,77.0,60.0
401851432,2026-03-09,2026-03-09 23:00:00+00:00,Wright State Raiders,Northern Kentucky Norse,103,90,46,44,57,46,True,Corteva Coliseum,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,140.05364379882812,0.9448927879333496,157.5,-1.5,193,13,Home Cover,Over,,,,,103.0,90.0,46.0,44.0,57.0,46.0,90.0,103.0
401851332,2026-03-09,2026-03-09 23:30:00+00:00,Montana Grizzlies,Northern Colorado Bears,95,89,49,32,46,57,True,Idaho Central Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,141.33768829345703,10.913815422058104,152.5,3.5,184,6,Home Cover,Over,,,,,95.0,89.0,49.0,32.0,46.0,57.0,81.0,103.0
401856432,2026-03-09,2026-03-10 00:30:00+00:00,Hofstra Pride,Towson Tigers,68,65,27,28,28,27,True,CareFirst Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,144.73545837402344,3.004849672317505,130.5,-4.5,133,3,Away Cover,Over,,,,,68.0,65.0,27.0,28.0,41.0,37.0,55.0,78.0
401851715,2026-03-09,2026-03-10 00:30:00+00:00,Grambling Tigers,Mississippi Valley State Delta Devils,77,52,34,19,43,33,True,Gateway Center,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,134.2776336669922,24.98577308654785,,,129,25,Away Cover,Under,,,,,77.0,52.0,34.0,19.0,43.0,33.0,53.0,76.0
401851608,2026-03-09,2026-03-10 00:50:00+00:00,UT Rio Grande Valley Vaqueros,Nicholls Colonels,86,68,44,32,42,36,True,Townsley Law Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,142.7113037109375,6.524667739868164,145.5,-8.5,154,18,Home Cover,Over,,,,,86.0,68.0,44.0,32.0,42.0,36.0,76.0,78.0
401851433,2026-03-09,2026-03-10 01:50:00+00:00,Robert Morris Colonials,Detroit Mercy Titans,64,70,36,33,28,37,True,Corteva Coliseum,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,143.36070251464844,4.190664291381836,147.5,-5.5,134,-6,Away Cover,Under,,,,,64.0,70.0,36.0,33.0,28.0,37.0,69.0,65.0
401851333,2026-03-09,2026-03-10 02:00:00+00:00,Eastern Washington Eagles,Weber State Wildcats,84,79,46,32,38,47,True,Idaho Central Arena,STATUS_FINAL,True,0,0,STATUS_SCHEDULED,,,,,143.33349609375,-0.1493105888366699,155.5,-2.5,163,5,Home Cover,Over,,,,,84.0,79.0,46.0,32.0,38.0,47.0,78.0,85.0
