event_id,home_team_name,away_team_name,home_slug,away_slug,commence_time
ada21de32dcee452e6710fb948f118a8,Richmond Spiders,East Carolina Pirates,richmond,eastcarolina,2025-11-08T23:00:00Z
537b0c877fbb0ca90664f1f70b06bdf0,Presbyterian Blue Hose,East Tennessee St Buccaneers,presbyterianbluehose,easttennesseestate,2025-11-08T23:02:34Z
441755f44e2f728980fd2fd3251a24cc,Massachusetts Minutemen,Albany Great Danes,massachusetts,ualbanygreatdanes,2025-11-08T23:02:50Z
92fb73c039a04b3fe0841b1e0336d64f,Florida Atlantic Owls,Charleston Cougars,floridaatlantic,charleston,2025-11-08T23:05:00Z
8e4306c9145ffe600a69919f18cdb534,Wichita St Shockers,Prairie View Panthers,wichitastateshockers,prairieview,2025-11-09T00:00:00Z
3d67a573febf8d86147efea9b26a608c,Villanova Wildcats,Queens University Royals,villanova,queensroyals,2025-11-09T00:00:00Z
9fd2103e9330c9324f7a1f06cf8c8e89,Tarleton State Texans,Texas A&M-CC Islanders,tarletonstate,texasaandmcc,2025-11-09T00:02:30Z
4f2ca93b20eb97f001d88f449f14bc29,Michigan St Spartans,Arkansas Razorbacks,michiganstate,arkansas,2025-11-09T00:05:00Z
3554fad7231562dcf6d6a2474527b726,Utah Utes,Weber State Wildcats,utahutes,weberstate,2025-11-09T00:05:00Z
dc81017ca32e1b4180318e2cc4d86377,St. Thomas (MN) Tommies,Army Knights,stthomasmntommies,army,2025-11-09T01:00:00Z
50236bac81f6c6a71c30f5f036637077,Kansas St Wildcats,Bellarmine Knights,kansasstate,bellarmine,2025-11-09T01:00:00Z
7459c5c408cdd5ba33fd3a409056d79a,Belmont Bruins,Tennessee St Tigers,belmont,tennesseestate,2025-11-09T01:00:00Z
f3b0ac5289bb103b3d8214d6309a8168,Bradley Braves,Central Michigan Chippewas,bradley,centralmichigan,2025-11-09T01:00:00Z
30d2fb6536ecd4bfade494995ef5eaae,Southern Utah Thunderbirds,UT Rio Grande Valley Vaqueros,southernutahthunderbirds,utriograndevalley,2025-11-09T01:30:00Z
2e68ac96133f2d9130c74c88b56c8b3d,Loyola Marymount Lions,Arkansas-Pine Bluff Golden Lions,loyolamarymount,arkansaspinebluffgolden,2025-11-09T02:00:00Z
689aaee44c828e436d6f64e87a86b11c,BYU Cougars,Holy Cross Crusaders,byu,holycrosscrusaders,2025-11-09T02:00:00Z
dc42f63eb40bf9e37ac8d9822ac7644e,UNLV Rebels,Chattanooga Mocs,nevadalasvegas,chattanoogamocs,2025-11-09T02:00:00Z
0acc11865a03449d8cfc23fbdc5777a4,Seattle Redhawks,Cal Poly Mustangs,seattle,calpoly,2025-11-09T03:00:00Z
357c329d7b3a1cbe22d4492dd9bbb97a,UC San Diego Tritons,Houston Christian Huskies,ucsandiegotritons,houstonchristian,2025-11-09T03:00:00Z
091755b3be929a5eba96f2cd876fe74b,Nevada Wolf Pack,Pacific Tigers,nevadawolfpack,pacific,2025-11-09T03:00:00Z
fc5ec818f5cff17ec1c5206b95908b80,Gonzaga Bulldogs,Oklahoma Sooners,gonzaga,oklahomasooners,2025-11-09T03:30:00Z
ef3d73d256caf0af1d2984f4a1a03e7a,Campbell Fighting Camels,Western Michigan Broncos,campbellfighting,westernmichigan,2025-11-09T17:00:00Z
d6bb30c8a7624d1c8f47d771539731b1,Harvard Crimson,New Hampshire Wildcats,harvardcrimson,newhampshire,2025-11-09T17:00:00Z
1915817e54e7a06e86ab101bc4b975b8,Marquette Golden Eagles,Indiana Hoosiers,marquettegolden,indiana,2025-11-09T18:00:00Z
c96898e027cb1762d09a25a3be2c8a09,North Dakota Fighting Hawks,CSU Northridge Matadors,northdakotafighting,csunorthridge,2025-11-09T19:00:00Z
aa06ea62daa492f858767e41ade80d4c,Illinois St Redbirds,Cornell Big Red,illinoisstate,cornellbigred,2025-11-09T19:00:00Z
b5cec35835139d6cd1f4f5ac56fdee6f,Dartmouth Big Green,Marist Red Foxes,dartmouthbiggreen,maristredfoxes,2025-11-09T19:00:00Z
44379efad8195c7f003f87b874896bf0,Georgia Bulldogs,Morehead St Eagles,georgia,moreheadstate,2025-11-09T19:00:00Z
f4d6be277e279b446b8b36ab28e38077,Northern Iowa Panthers,South Dakota St Jackrabbits,northerniowa,southdakotastate,2025-11-09T19:00:00Z
a234c864240c38ec9551a23445ce3bf8,Oklahoma St Cowboys,Texas A&M Aggies,oklahomastate,texasaandm,2025-11-09T19:00:00Z
b0ee811ace05fb86b873f0aa0924e15f,Arizona St Sun Devils,Utah Tech Trailblazers,arizonastatesundevils,utahtechtrailblazers,2025-11-09T20:00:00Z
f5c0c8210187f7f5d88ed11f9c532154,Montana St Bobcats,Denver Pioneers,montanastate,denver,2025-11-09T20:00:00Z
afde19e0508fadf6a85314a8710aa2c6,West Virginia Mountaineers,Lehigh Mountain Hawks,westvirginia,lehighmountain,2025-11-09T20:00:00Z
de5a07a305718f3330412cc74f2395b4,Missouri Tigers,VMI Keydets,missouri,vmikeydets,2025-11-09T20:30:44Z
00fe6d434f45c233a5547af1fbaa0a6f,San Diego St Aztecs,Idaho State Bengals,sandiegostate,idahostate,2025-11-09T22:00:00Z
d78082c850ea7cebb7d080cb17007b5e,Loyola (Chi) Ramblers,North Texas Mean Green,loyolachi,northtexasmeangreen,2025-11-09T22:00:00Z
8bbf78855e5aa268d26eaf617fb412df,Portland Pilots,UC Davis Aggies,portlandpilots,californiadavis,2025-11-09T22:00:00Z
