game_id,home_team,away_team,home_off_rating,home_off_rating_basis,away_off_rating,away_off_rating_basis,home_def_rating,home_def_rating_basis,away_def_rating,away_def_rating_basis,home_tempo_rating,home_tempo_rating_basis,away_tempo_rating,away_tempo_rating_basis,home_recent_form,away_recent_form,home_pace_adj,away_pace_adj
401820555,Air Force Falcons,Northern Colorado Bears,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401823487,Mercer Bears,App State Mountaineers,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401812288,Fairleigh Dickinson Knights,Army Black Knights,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401823421,Bowling Green Falcons,VMI Keydets,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401820617,Bryant Bulldogs,Mercy Mavericks,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401813450,Duquesne Dukes,Central State (OH) Marauders,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401827007,Texas Southern Tigers,College Of Biblical Studies Ambassadors,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401826941,Presbyterian Blue Hose,Columbia International Rams,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401830009,Cornell Big Red,Misericordia Cougars,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401831378,Delaware State Hornets,Virginia St Trojans,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401829046,Florida International Panthers,Omaha Mavericks,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401820153,Gardner-Webb Runnin' Bulldogs,Navy Midshipmen,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401812666,Holy Cross Crusaders,Worcester State Lancers,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401828497,Incarnate Word Cardinals,Texas Lutheran Bulldogs,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401826832,Kentucky Wildcats,Tennessee Tech Golden Eagles,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
401822352,Stonehill Skyhawks,UMass Lowell River Hawks,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,
