game_id,season,date,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue
401819840,2025,2025-12-19,2025-12-20 02:30:00+00:00,2025-12-19 21:30,EST,BYU Cougars,Abilene Christian Wildcats,85,67,43,36,42,31,False,Marriott Center
401823729,2025,2025-12-19,2025-12-19 16:00:00+00:00,2025-12-19 11:00,EST,Sacred Heart Pioneers,Dartmouth Big Green,85,63,35,26,50,37,False,William H. Pitt Center
401829281,2025,2025-12-19,2025-12-19 17:00:00+00:00,2025-12-19 12:00,EST,South Carolina State Bulldogs,Brewton-Parker Wildcats,68,54,34,27,34,27,False,Smith-Hammond-Middleton Memorial Center
401829436,2025,2025-12-19,2025-12-19 18:00:00+00:00,2025-12-19 13:00,EST,Samford Bulldogs,Reinhardt Eagles,85,49,41,17,44,32,False,Pete Hanna Center
401812292,2025,2025-12-19,2025-12-19 20:00:00+00:00,2025-12-19 15:00,EST,Fairleigh Dickinson Knights,Lehman College Bridges,76,42,40,17,36,25,False,Bogota Savings Bank Center
401827091,2025,2025-12-19,2025-12-19 22:00:00+00:00,2025-12-19 17:00,EST,Hampton Pirates,Grambling Tigers,72,81,33,38,39,43,True,Gateway Center
401823263,2025,2025-12-19,2025-12-19 22:00:00+00:00,2025-12-19 17:00,EST,Cal State Northridge Matadors,La Sierra Golden Eagles,88,53,43,16,45,37,False,Premier America Credit Union Arena
401822315,2025,2025-12-19,2025-12-19 22:00:00+00:00,2025-12-19 17:00,EST,Milwaukee Panthers,South Dakota State Jackrabbits,88,87,39,38,49,49,False,Fiserv Forum
401820158,2025,2025-12-19,2025-12-19 22:00:00+00:00,2025-12-19 17:00,EST,Navy Midshipmen,Coppin State Eagles,88,55,36,24,52,31,False,Alumni Hall (Navy)
401827501,2025,2025-12-19,2025-12-19 23:00:00+00:00,2025-12-19 18:00,EST,Towson Tigers,Notre Dame (MD) Gators,107,60,56,31,51,29,False,SECU Arena
401822872,2025,2025-12-19,2025-12-19 23:30:00+00:00,2025-12-19 18:30,EST,Providence Friars,Seton Hall Pirates,67,72,28,35,39,37,False,Amica Mutual Pavilion
401826712,2025,2025-12-19,2025-12-20 00:00:00+00:00,2025-12-19 19:00,EST,Florida State Seminoles,Mississippi Valley State Delta Devils,96,49,54,17,42,32,False,Tucker Center
401822184,2025,2025-12-19,2025-12-20 00:00:00+00:00,2025-12-19 19:00,EST,High Point Panthers,La Salle Explorers,84,72,35,29,49,43,False,Qubein Center
401813767,2025,2025-12-19,2025-12-20 00:00:00+00:00,2025-12-19 19:00,EST,Akron Zips,Eastern Michigan Eagles,93,72,48,34,45,38,False,James A. Rhodes Arena
401813405,2025,2025-12-19,2025-12-20 00:00:00+00:00,2025-12-19 19:00,EST,Drexel Dragons,Mount St. Mary's Mountaineers,75,67,38,33,37,34,False,Daskalakis Athletic Center
401828733,2025,2025-12-19,2025-12-20 00:30:00+00:00,2025-12-19 19:30,EST,Jackson State Tigers,Norfolk State Spartans,72,82,29,42,43,40,True,Gateway Center
401823366,2025,2025-12-19,2025-12-20 00:30:00+00:00,2025-12-19 19:30,EST,Western Kentucky Hilltoppers,Tulsa Golden Hurricane,81,82,37,30,44,52,False,E.A. Diddle Arena
401827002,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,Tarleton State Texans,Florida A&M Rattlers,78,54,49,35,29,19,False,Wisdom Gym
401823567,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,Villanova Wildcats,Wisconsin Badgers,76,66,35,22,21,34,True,Fiserv Forum
401819831,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,Baylor Bears,Alcorn State Braves,113,56,55,30,58,26,False,Foster Pavilion
401808954,2025,2025-12-19,2025-12-20 01:00:00+00:00,2025-12-19 20:00,EST,LSU Tigers,SE Louisiana Lions,78,65,50,36,28,29,False,Pete Maravich Assembly Center
401811973,2025,2025-12-19,2025-12-20 02:00:00+00:00,2025-12-19 21:00,EST,UC Irvine Anteaters,Belmont Bruins,58,84,36,38,22,46,False,Bren Events Center
401826796,2025,2025-12-19,2025-12-20 03:00:00+00:00,2025-12-19 22:00,EST,Saint Mary's Gaels,Florida Atlantic Owls,88,75,38,30,50,45,False,University Credit Union Pavilion
401824116,2025,2025-12-19,2025-12-20 03:00:00+00:00,2025-12-19 22:00,EST,UC San Diego Tritons,San Diego Toreros,80,82,31,40,49,42,False,LionTree Arena
401823440,2025,2025-12-19,2025-12-20 03:00:00+00:00,2025-12-19 22:00,EST,Loyola Marymount Lions,North Alabama Lions,91,57,46,21,45,36,False,Gersten Pavilion
401813765,2025,2025-12-19,2025-12-20 03:00:00+00:00,2025-12-19 22:00,EST,UCLA Bruins,Cal Poly Mustangs,108,87,43,45,65,42,False,Pauley Pavilion
401813282,2025,2025-12-19,2025-12-20 03:00:00+00:00,2025-12-19 22:00,EST,California Golden Bears,Morgan State Bears,97,50,50,23,47,27,False,Haas Pavilion
401824132,2025,2025-12-19,2025-12-20 04:30:00+00:00,2025-12-19 23:30,EST,Seattle U Redhawks,Washington Huskies,70,66,26,29,44,37,False,Climate Pledge Arena
