game_id,home_team,away_team,closing_total,closing_spread_home,closing_ml_home,closing_ml_away
2025-12-03:abilene_christian_wildcats:pepperdine_waves,Pepperdine Waves,Abilene Christian Wildcats,137.75,-1.5,,
2025-12-03:arkansas_pine_bluff_golden_lions:uic_flames,UIC Flames,Arkansas-Pine Bluff Golden Lions,163.5,-18.5,,
2025-12-03:brown_bears:rhode_island_rams,Rhode Island Rams,Brown Bears,138.0,-14.0,,
2025-12-03:central_michigan_chippewas:loyola_chi_ramblers,Loyola (Chi) Ramblers,Central Michigan Chippewas,139.5,-6.5,,
2025-12-03:cornell_big_red:george_mason_patriots,George Mason Patriots,Cornell Big Red,155.5,-10.5,,
2025-12-03:east_tennessee_st_buccaneers:dayton_flyers,Dayton Flyers,East Tennessee St Buccaneers,140.75,-11.5,,
2025-12-03:eastern_michigan_eagles:butler_bulldogs,Butler Bulldogs,Eastern Michigan Eagles,153.0,-17.5,,
2025-12-03:fairleigh_dickinson_knights:providence_friars,Providence Friars,Fairleigh Dickinson Knights,162.0,-27.0,,
2025-12-03:florida_a_m_rattlers:jacksonville_dolphins,Jacksonville Dolphins,Florida A&M Rattlers,138.0,-10.5,,
2025-12-03:florida_gators:duke_blue_devils,Duke Blue Devils,Florida Gators,157.0,-9.25,,
2025-12-03:georgia_bulldogs:florida_st_seminoles,Florida St Seminoles,Georgia Bulldogs,175.5,-1.5,,
2025-12-03:georgia_st_panthers:mercer_bears,Mercer Bears,Georgia St Panthers,155.5,-10.5,,
2025-12-03:grambling_st_tigers:tulane_green_wave,Tulane Green Wave,Grambling St Tigers,149.5,-12.0,,
2025-12-03:houston_christian_huskies:north_texas_mean_green,North Texas Mean Green,Houston Christian Huskies,127.5,-12.0,,
2025-12-03:iowa_hawkeyes:michigan_st_spartans,Michigan St Spartans,Iowa Hawkeyes,133.5,-5.0,,
2025-12-03:jackson_st_tigers:kennesaw_st_owls,Kennesaw St Owls,Jackson St Tigers,157.0,-15.0,,
