game_id,season,date,start_time,start_time_local,start_tz_abbr,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,start_time_iso,display_date,start_time_local_venue,start_tz_abbr_venue,game_date,game_key,event_id,book,fetched_at,last_update,commence_time,home_team_name,away_team_name,market,period,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price,odds_date,odds_key
401809105,2025,2025-12-04,2025-12-05 03:00:00+00:00,2025-12-04 22:00,EST,UC Irvine Anteaters,UC Riverside Highlanders,0,0,,,,,False,Bren Events Center,2025-12-05T03:00:00Z,2025-12-04,,,2025-12-04,californiariverside__ucirvineanteaters,a64b452972ebb31845d4843f67702904,BetMGM,2025-12-05 00:37:57.129638+00:00,2025-12-05 00:37:54+00:00,2025-12-05 03:00:00+00:00,UC Irvine Anteaters,UC Riverside Highlanders,h2h,2h,-1000.0,625.0,,,,,,,,2025-12-05,californiariverside__ucirvineanteaters
401809123,2025,2025-12-04,2025-12-05 04:59:00+00:00,2025-12-04 23:59,EST,Hawai'i Rainbow Warriors,UC Davis Aggies,0,0,,,,,False,Stan Sheriff Center,2025-12-05T04:59:00Z,2025-12-04,,,2025-12-04,californiadavis__hawaiirainbow,ec44d694728cf6472761aed1025db7b9,BetMGM,2025-12-05 00:37:57.129638+00:00,2025-12-05 00:37:54+00:00,2025-12-05 05:00:00+00:00,Hawai'i Rainbow Warriors,UC Davis Aggies,h2h,2h,-475.0,350.0,,,,,,,,2025-12-05,californiadavis__hawaiirainbow
401809153,2025,2025-12-04,2025-12-05 03:00:00+00:00,2025-12-04 22:00,EST,Cal State Fullerton Titans,Cal Poly Mustangs,0,0,,,,,False,Titan Gym,2025-12-05T03:00:00Z,2025-12-04,,,2025-12-04,calpoly__calstfullerton,dba0f3938721d2b7599b154272b9113b,BetMGM,2025-12-05 00:37:57.129638+00:00,2025-12-05 00:37:54+00:00,2025-12-05 03:00:00+00:00,CSU Fullerton Titans,Cal Poly Mustangs,h2h,2h,-118.0,-102.0,,,,,,,,2025-12-05,calpoly__calstfullerton
401812290,2025,2025-12-04,2025-12-04 21:00:00+00:00,2025-12-04 16:00,EST,Fairleigh Dickinson Knights,Manor College Blue Jays,86,38,44.0,21.0,42.0,17.0,False,Bogota Savings Bank Center,2025-12-04T21:00:00Z,2025-12-04,,,2025-12-04,fairleighdickinson__manorcollegebluejays,,,,,,,,,,,,,,,,,,,,
401817505,2025,2025-12-04,2025-12-05 00:00:00+00:00,2025-12-04 19:00,EST,Green Bay Phoenix,Robert Morris Colonials,31,34,31.0,34.0,,,False,Resch Center,2025-12-05T00:00:00Z,2025-12-04,,,2025-12-04,greenbayphoenix__robertmorriscolonials,80250dea32e423c15b92daf153adf22b,BetMGM,2025-12-05 00:37:57.129638+00:00,2025-12-05 00:37:54+00:00,2025-12-05 00:04:00+00:00,Green Bay Phoenix,Robert Morris Colonials,h2h,2h,125.0,-160.0,,,,,,,,2025-12-05,greenbayphoenix__robertmorriscolonials
401820845,2025,2025-12-04,2025-12-05 00:00:00+00:00,2025-12-04 19:00,EST,Charleston Southern Buccaneers,Warren Wilson Owls,67,22,67.0,22.0,,,False,Buccaneer Fieldhouse,2025-12-05T00:00:00Z,2025-12-04,,,2025-12-04,charlestonsouthern__warrenwilson,,,,,,,,,,,,,,,,,,,,
401823261,2025,2025-12-04,2025-12-05 03:00:00+00:00,2025-12-04 22:00,EST,Cal State Northridge Matadors,Cal State Bakersfield Roadrunners,0,0,,,,,False,Premier America Credit Union Arena,2025-12-05T03:00:00Z,2025-12-04,,,2025-12-04,calstatenorthridge__calstbakersfield,,,,,,,,,,,,,,,,,,,,
401823311,2025,2025-12-04,2025-12-05 02:00:00+00:00,2025-12-04 21:00,EST,UC Santa Barbara Gauchos,Long Beach State Beach,0,0,,,,,False,The Thunderdome,2025-12-05T02:00:00Z,2025-12-04,,,2025-12-04,longbeachstatebeach__ucsantabarbaragauchos,,,,,,,,,,,,,,,,,,,,
401823852,2025,2025-12-04,2025-12-05 00:00:00+00:00,2025-12-04 19:00,EST,Merrimack Warriors,Rider Broncs,30,29,30.0,29.0,,,False,Hammel Court,2025-12-05T00:00:00Z,2025-12-04,,,2025-12-04,merrimack__rider,7fd83262b6e29f036af77f9b90fe8a91,BetMGM,2025-12-05 00:37:57.129638+00:00,2025-12-05 00:37:54+00:00,2025-12-05 00:04:00+00:00,Merrimack Warriors,Rider Broncs,h2h,2h,-350.0,260.0,,,,,,,,2025-12-05,merrimack__rider
401826835,2025,2025-12-04,2025-12-05 00:00:00+00:00,2025-12-04 19:00,EST,South Florida Bulls,Utah State Aggies,39,18,39.0,18.0,,,False,Yuengling Center,2025-12-05T00:00:00Z,2025-12-04,,,2025-12-04,southfloridabulls__utahstate,8565b968f8f53311a0bda1a6ff12cfdc,BetMGM,2025-12-05 00:37:57.129638+00:00,2025-12-05 00:37:54+00:00,2025-12-05 00:10:00+00:00,South Florida Bulls,Utah State Aggies,h2h,2h,-1400.0,700.0,,,,,,,,2025-12-05,southfloridabulls__utahstate
