type,variant,p_col,bin_low,bin_high,n,confidence,accuracy
over,raw,p_over_meta,0.0,0.1,327,0.0129288298362199,0.01529051987767584
over,raw,p_over_meta,0.1,0.2,23,0.1368890969581129,0.21739130434782608
over,raw,p_over_meta,0.2,0.30000000000000004,26,0.24906551291110646,0.038461538461538464
over,raw,p_over_meta,0.30000000000000004,0.4,23,0.35809327999746765,0.0
over,raw,p_over_meta,0.4,0.5,243,0.4980117902995853,0.11934156378600823
over,raw,p_over_meta,0.5,0.6000000000000001,14,0.5595361687515054,0.14285714285714285
over,raw,p_over_meta,0.6000000000000001,0.7000000000000001,21,0.6452781605236616,0.09523809523809523
over,raw,p_over_meta,0.7000000000000001,0.8,11,0.7463021901976729,0.09090909090909091
over,raw,p_over_meta,0.8,0.9,4,0.8189875634108342,0.25
over,raw,p_over_meta,0.9,1.0,1,0.9336670310191144,0.0
over,cal,p_over_meta_cal,0.0,0.1,217,0.005248777494007033,0.0
over,cal,p_over_meta_cal,0.1,0.2,1,0.1189707611032591,0.0
over,cal,p_over_meta_cal,0.2,0.30000000000000004,0,,
over,cal,p_over_meta_cal,0.30000000000000004,0.4,0,,
over,cal,p_over_meta_cal,0.4,0.5,0,,
over,cal,p_over_meta_cal,0.5,0.6000000000000001,0,,
over,cal,p_over_meta_cal,0.6000000000000001,0.7000000000000001,0,,
over,cal,p_over_meta_cal,0.7000000000000001,0.8,0,,
over,cal,p_over_meta_cal,0.8,0.9,0,,
over,cal,p_over_meta_cal,0.9,1.0,0,,
