game_id,date,home_team,away_team,home_pf5,home_pa5,home_tot5,away_pf5,away_pa5,away_tot5,home_pf15,home_pa15,home_tot15,away_pf15,away_pa15,away_tot15,target_total,target_margin,target_1h_total,rest_home,rest_away,b2b_home,b2b_away,neutral_site,home_efg5,home_tov_rate5,home_orb_rate5,home_ftr5,home_poss5,away_efg5,away_tov_rate5,away_orb_rate5,away_ftr5,away_poss5,home_rating_margin,away_rating_margin,rating_margin_diff,home_off_rating,away_off_rating,off_rating_diff,home_def_rating,away_def_rating,def_rating_diff,home_tempo_rating,away_tempo_rating,tempo_rating_sum
400916272,2016-11-12,Butler Bulldogs,Northern Colorado Bears,,,,,,,,,,,,,141,37,72.0,,,False,False,False,,,,,,,,,,,8.176737479212472,-1.262718702717297,9.439456181929769,,,,,,,,,
400919645,2016-11-21,Butler Bulldogs,Norfolk State Spartans,,,,,,,,,,,,,146,36,74.0,9.0,,False,False,False,,,,,,,,,,,8.176737479212472,2.3374354200565937,5.839302059155878,,,,,,,,,
400910822,2016-11-24,Butler Bulldogs,Vanderbilt Commodores,,,,,,,,,,,,,142,10,75.0,3.0,3.0,False,False,True,,,,,,,,,,,8.176737479212472,7.540190214376041,0.6365472648364303,,,,,,,,,
400919651,2016-12-03,Butler Bulldogs,Central Arkansas Bears,,,,,,,,,,,,,140,24,68.0,9.0,,False,False,False,,,,,,,,,,,8.176737479212472,-6.08177803820817,14.25851551742064,,,,,,,,,
400918211,2016-12-07,Indiana State Sycamores,Butler Bulldogs,,,,,,,,,,,,,143,1,60.0,13.0,4.0,False,False,False,,,,,,,,,,,-2.309833039512562,8.176737479212472,-10.486570518725031,,,,,,,,,
400916531,2016-12-10,Butler Bulldogs,Cincinnati Bearcats,81.8,60.6,142.4,,,,,,,,,,140,10,70.0,3.0,9.0,False,False,False,,,,,0.0,,,,,,8.176737479212472,16.649574667127172,-8.4728371879147,,,,,,,,,
400918762,2016-12-21,Butler Bulldogs,Vermont Catamounts,79.0,63.2,142.2,,,,,,,,,,150,12,70.0,11.0,20.0,False,False,False,,,,,0.0,,,,,,8.176737479212472,5.91721092195336,2.259526557259112,,,,,,,,,
400919660,2016-12-29,St. John's Red Storm,Butler Bulldogs,,,,77.0,66.0,143.0,,,,,,,149,3,76.0,35.0,8.0,False,False,False,,,,,,,,,,0.0,9.76743921125636,8.176737479212472,1.5907017320438896,,,,,,,,,
400919666,2017-01-04,Butler Bulldogs,Villanova Wildcats,76.4,68.0,144.4,81.0,63.8,144.8,,,,,,,124,8,58.0,6.0,4.0,False,False,False,,,,,0.0,,,,,0.0,8.176737479212472,17.301073709488488,-9.124336230276016,,,,,,,,,
400919669,2017-01-07,Georgetown Hoyas,Butler Bulldogs,,,,73.2,68.0,141.2,,,,,,,161,-9,63.0,47.0,3.0,False,False,False,,,,,,,,,,0.0,4.890755050089343,8.176737479212472,-3.2859824291231288,,,,,,,,,
400919678,2017-01-11,Creighton Bluejays,Butler Bulldogs,83.6,75.2,158.8,76.0,68.8,144.8,,,,,,,139,11,74.0,4.0,4.0,False,False,False,,,,,0.0,,,,,0.0,14.514109727841817,8.176737479212472,6.337372248629345,,,,,,,,,
