game_id,date,home_team,away_team,home_pf5,home_pa5,home_tot5,away_pf5,away_pa5,away_tot5,home_pf15,home_pa15,home_tot15,away_pf15,away_pa15,away_tot15,target_total,target_margin,target_1h_total,rest_home,rest_away,b2b_home,b2b_away,neutral_site,home_efg5,home_tov_rate5,home_orb_rate5,home_ftr5,home_poss5,away_efg5,away_tov_rate5,away_orb_rate5,away_ftr5,away_poss5,home_rating_margin,away_rating_margin,rating_margin_diff,home_off_rating,away_off_rating,off_rating_diff,home_def_rating,away_def_rating,def_rating_diff,home_tempo_rating,away_tempo_rating,tempo_rating_sum
400919656,2016-12-28,Villanova Wildcats,DePaul Blue Demons,85.4,57.8,143.2,,,,,,,,,,133,3,56.0,7.0,,False,False,False,,,,,0.0,,,,,,17.301073709488488,1.7120451728255035,15.589028536662983,,,,,,,,,
400919690,2017-01-21,DePaul Blue Demons,Butler Bulldogs,,,,77.2,73.4,150.6,,,,,,,139,-1,64.0,24.0,5.0,False,False,False,,,,,,,,,,0.0,1.7120451728255035,8.176737479212472,-6.464692306386968,,,,,,,,,
400919699,2017-01-28,Creighton Bluejays,DePaul Blue Demons,79.8,74.0,153.8,,,,83.0,71.06666666666666,154.06666666666666,,,,149,17,73.0,3.0,7.0,False,False,False,,,,,0.0,,,,,,14.514109727841817,1.7120451728255035,12.802064555016312,,,,,,,,,
400919713,2017-02-08,Xavier Musketeers,DePaul Blue Demons,81.2,80.2,161.4,,,,79.06666666666666,69.46666666666667,148.53333333333333,,,,133,11,75.0,4.0,11.0,False,False,False,,,,,0.0,,,,,,12.88059137639904,1.7120451728255035,11.168546203573536,,,,,,,,,
400919717,2017-02-11,DePaul Blue Demons,Creighton Bluejays,,,,76.8,77.6,154.4,,,,82.26666666666667,72.13333333333334,154.4,151,-35,65.0,3.0,7.0,False,False,False,,,,,,,,,,0.0,1.7120451728255035,14.514109727841817,-12.802064555016312,,,,,,,,,
400919720,2017-02-13,DePaul Blue Demons,Villanova Wildcats,63.8,77.2,141.0,73.4,63.2,136.6,,,,75.8,61.86666666666667,137.66666666666666,137,-13,57.0,2.0,2.0,False,False,False,,,,,0.0,,,,,0.0,1.7120451728255035,17.301073709488488,-15.589028536662983,,,,,,,,,
400919726,2017-02-19,Butler Bulldogs,DePaul Blue Demons,77.4,73.2,150.6,63.2,78.6,141.8,76.2,72.26666666666667,148.46666666666667,,,,148,16,63.0,4.0,6.0,False,False,False,,,,,0.0,,,,,0.0,8.176737479212472,1.7120451728255035,6.464692306386968,,,,,,,,,
400945521,2017-03-08,Xavier Musketeers,DePaul Blue Demons,74.4,75.8,150.2,62.6,81.0,143.6,77.33333333333333,72.53333333333333,149.86666666666667,,,,139,11,61.0,10.0,17.0,False,False,True,,,,,0.0,,,,,0.0,12.88059137639904,1.7120451728255035,11.168546203573536,,,,,,,,,
400986049,2017-11-11,DePaul Blue Demons,Notre Dame Fighting Irish,62.2,79.4,141.6,69.6,69.4,139.0,,,,67.8,66.2,134.0,130,-14,54.0,248.0,238.0,False,False,False,,,,,0.0,,,,,0.0,1.7120451728255035,8.927744193647596,-7.215699020822092,,,,,,,,,
400986381,2017-11-23,DePaul Blue Demons,Michigan State Spartans,61.6,79.4,141.0,76.4,65.6,142.0,,,,,,,124,-22,62.0,12.0,13.0,False,False,True,,,,,0.0,,,,,0.0,1.7120451728255035,17.585471382736248,-15.873426209910743,,,,,,,,,
400988525,2017-12-11,DePaul Blue Demons,Alabama A&M Bulldogs,60.2,75.4,135.6,,,,,,,,,,142,24,70.0,18.0,20.0,False,False,False,,,,,0.0,,,,,,1.7120451728255035,-9.94952514900228,11.661570321827783,,,,,,,,,
400988552,2017-12-30,Xavier Musketeers,DePaul Blue Demons,82.6,73.2,155.8,64.4,72.2,136.6,81.93333333333334,69.86666666666666,151.8,,,,149,5,70.0,3.0,19.0,False,False,False,,,,,0.0,,,,,0.0,12.88059137639904,1.7120451728255035,11.168546203573536,,,,,,,,,
400988571,2018-01-12,DePaul Blue Demons,Providence Friars,65.6,71.2,136.8,68.4,73.2,141.6,,,,,,,135,-7,69.0,13.0,6.0,False,False,False,,,,,0.0,,,,,0.0,1.7120451728255035,8.980514332026452,-7.268469159200948,,,,,,,,,
