game_id,date,home_team,away_team,home_pf5,home_pa5,home_tot5,away_pf5,away_pa5,away_tot5,home_pf15,home_pa15,home_tot15,away_pf15,away_pa15,away_tot15,target_total,target_margin,target_1h_total,rest_home,rest_away,b2b_home,b2b_away,neutral_site,home_efg5,home_tov_rate5,home_orb_rate5,home_ftr5,home_poss5,away_efg5,away_tov_rate5,away_orb_rate5,away_ftr5,away_poss5,home_rating_margin,away_rating_margin,rating_margin_diff,home_off_rating,away_off_rating,off_rating_diff,home_def_rating,away_def_rating,def_rating_diff,home_tempo_rating,away_tempo_rating,tempo_rating_sum
400919645,2016-11-21,Butler Bulldogs,Norfolk State Spartans,,,,,,,,,,,,,146,36,74.0,9.0,,False,False,False,,,,,,,,,,,8.176737479212472,2.3374354200565937,5.839302059155878,,,,,,,,,
400918990,2016-11-24,Norfolk State Spartans,Bucknell Bison,,,,,,,,,,,,,142,-26,65.0,3.0,3.0,False,False,True,,,,,,,,,,,2.3374354200565937,3.8377524678101977,-1.500317047753604,,,,,,,,,
400915193,2016-12-21,Purdue Boilermakers,Norfolk State Spartans,,,,,,,,,,,,,136,46,78.0,2.0,27.0,False,False,False,,,,,,,,,,,18.93258727393362,2.3374354200565937,16.595151853877027,,,,,,,,,
400920523,2017-01-09,Norfolk State Spartans,South Carolina State Bulldogs,,,,,,,,,,,,,0,0,,19.0,18.0,False,False,False,,,,,,,,,,,2.3374354200565937,-6.283307416819572,8.620742836876166,,,,,,,,,
400946041,2017-03-08,Norfolk State Spartans,South Carolina State Bulldogs,,,,,,,,,,,,,181,5,83.0,58.0,1.0,False,True,True,,,,,,,,,,,2.3374354200565937,-6.283307416819572,8.620742836876166,,,,,,,,,
400946179,2017-03-10,Norfolk State Spartans,Howard Bison,50.2,70.8,121.0,,,,,,,,,,121,15,58.0,2.0,1.0,False,True,True,,,,,0.0,,,,,,2.3374354200565937,-2.2584845796772703,4.595919999733864,,,,,,,,,
400946216,2017-03-11,North Carolina Central Eagles,Norfolk State Spartans,,,,52.8,63.2,116.0,,,,,,,126,8,73.0,1.0,1.0,True,True,True,,,,,,,,,,0.0,2.313577715147629,2.3374354200565937,-0.0238577049089645,,,,,,,,,
400946464,2017-03-13,Liberty Flames,Norfolk State Spartans,,,,53.0,59.8,112.8,,,,,,,137,9,55.0,87.0,2.0,False,False,False,,,,,,,,,,0.0,5.836167241965968,2.3374354200565937,3.498731821909374,,,,,,,,,
400992814,2018-01-08,North Carolina Central Eagles,Norfolk State Spartans,72.2,59.8,132.0,56.8,56.2,113.0,,,,,,,127,1,58.0,28.0,301.0,False,False,False,,,,,0.0,,,,,0.0,2.313577715147629,2.3374354200565937,-0.0238577049089645,,,,,,,,,
401020547,2018-03-05,Norfolk State Spartans,Maryland Eastern Shore Hawks,69.4,69.0,138.4,57.2,78.0,135.2,,,,,,,146,10,64.0,56.0,56.0,False,False,True,,,,,0.0,,,,,0.0,2.3374354200565937,-8.094576841555993,10.432012261612586,,,,,,,,,
401020553,2018-03-08,North Carolina A&T Aggies,Norfolk State Spartans,71.0,71.0,142.0,66.4,65.0,131.4,,,,,,,134,6,69.0,3.0,3.0,False,False,True,,,,,0.0,,,,,0.0,-3.958596468282847,2.3374354200565937,-6.29603188833944,,,,,,,,,
401090373,2018-11-08,Norfolk State Spartans,Mid-Atlantic Christian Mustangs,65.6,68.4,134.0,,,,,,,,,,158,58,73.0,245.0,,False,False,False,,,,,0.0,,,,,,2.3374354200565937,-5.060233143631221,7.397668563687814,,,,,,,,,
401087292,2018-11-27,Norfolk State Spartans,Stony Brook Seawolves,75.4,65.0,140.4,,,,,,,,,,152,-6,71.0,19.0,266.0,False,False,False,,,,,0.0,,,,,,2.3374354200565937,-2.3626393658214204,4.700074785878014,,,,,,,,,
401088236,2018-11-29,Norfolk State Spartans,Hampton Pirates,77.2,66.2,143.4,79.8,75.0,154.8,,,,,,,183,5,70.0,2.0,4.0,False,False,False,,,,,0.0,,,,,0.0,2.3374354200565937,-2.589419244663213,4.926854664719807,,,,,,,,,
401090375,2019-01-07,Norfolk State Spartans,Florida A&M Rattlers,83.4,71.2,154.6,74.8,80.4,155.2,,,,,,,134,10,68.0,39.0,39.0,False,False,False,,,,,0.0,,,,,0.0,2.3374354200565937,-10.100563525880162,12.437998945936757,,,,,,,,,
401121737,2019-03-13,Norfolk State Spartans,South Carolina State Bulldogs,82.2,70.0,152.2,61.6,76.8,138.4,66.26666666666667,68.6,134.86666666666667,,,,151,5,70.0,65.0,1.0,False,True,True,,,,,0.0,,,,,0.0,2.3374354200565937,-6.283307416819572,8.620742836876166,,,,,,,,,
401121733,2019-03-15,Norfolk State Spartans,Howard Bison,85.0,70.6,155.6,74.0,70.2,144.2,67.8,67.4,135.2,,,,144,6,60.0,2.0,1.0,False,True,True,,,,,0.0,,,,,0.0,2.3374354200565937,-2.2584845796772703,4.595919999733864,,,,,,,,,
401121732,2019-03-16,Norfolk State Spartans,North Carolina Central Eagles,78.4,74.4,152.8,72.0,62.4,134.4,68.93333333333334,66.4,135.33333333333334,70.2,60.73333333333333,130.93333333333334,97,-3,54.0,1.0,1.0,True,True,True,,,,,0.0,,,,,0.0,2.3374354200565937,2.313577715147629,0.0238577049089645,,,,,,,,,
401211045,2020-03-12,Norfolk State Spartans,Coppin State Eagles,73.2,68.6,141.8,66.6,71.4,138.0,69.06666666666666,63.66666666666666,132.73333333333332,64.8,76.46666666666667,141.26666666666668,0,0,,362.0,59.0,False,False,True,,,,,0.0,,,,,0.0,2.3374354200565937,-8.056156452604334,10.393591872660927,,,,,,,,,
401296133,2021-03-11,Norfolk State Spartans,North Carolina Central Eagles,54.4,50.8,105.2,60.4,58.0,118.4,69.06666666666666,63.66666666666666,132.73333333333332,65.33333333333333,59.06666666666667,124.4,145,29,77.0,364.0,89.0,False,False,True,,,,,0.0,,,,,0.0,2.3374354200565937,2.313577715147629,0.0238577049089645,,,,,,,,,
401296173,2021-03-12,North Carolina A&T Aggies,Norfolk State Spartans,59.6,71.4,131.0,57.4,50.0,107.4,66.93333333333334,71.93333333333334,138.86666666666667,68.66666666666667,61.66666666666666,130.33333333333334,1,-1,,107.0,1.0,False,True,True,,,,,0.0,,,,,0.0,-3.958596468282847,2.3374354200565937,-6.29603188833944,,,,,,,,,
401296193,2021-03-13,Norfolk State Spartans,Morgan State Bears,42.0,35.4,77.4,65.8,57.6,123.4,64.2,58.13333333333333,122.33333333333331,70.93333333333334,74.8,145.73333333333332,134,8,67.0,1.0,1.0,True,True,True,,,,,0.0,,,,,0.0,2.3374354200565937,-7.578191364452666,9.91562678450926,,,,,,,,,
