game_id,date,home_team,away_team,home_pf5,home_pa5,home_tot5,away_pf5,away_pa5,away_tot5,home_pf15,home_pa15,home_tot15,away_pf15,away_pa15,away_tot15,target_total,target_margin,target_1h_total,rest_home,rest_away,b2b_home,b2b_away,neutral_site,home_efg5,home_tov_rate5,home_orb_rate5,home_ftr5,home_poss5,away_efg5,away_tov_rate5,away_orb_rate5,away_ftr5,away_poss5,home_rating_margin,away_rating_margin,rating_margin_diff,home_off_rating,away_off_rating,off_rating_diff,home_def_rating,away_def_rating,def_rating_diff,home_tempo_rating,away_tempo_rating,tempo_rating_sum
400915139,2016-12-27,Penn State Nittany Lions,Northwestern Wildcats,,,,,,,,,,,,,164,-10,83.0,,36.0,False,False,False,,,,,,,,,,,10.213968509412432,7.211198018538384,3.002770490874048,,,,,,,,,
400915097,2017-01-14,Penn State Nittany Lions,Minnesota Golden Gophers,,,,,,,,,,,,,102,2,54.0,18.0,3.0,False,False,False,,,,,,,,,,,10.213968509412432,7.085228313976824,3.128740195435608,,,,,,,,,
400915177,2017-01-21,Purdue Boilermakers,Penn State Nittany Lions,78.6,74.4,153.0,,,,,,,,,,129,25,64.0,4.0,7.0,False,False,False,,,,,0.0,,,,,,18.93258727393362,10.213968509412432,8.718618764521189,,,,,,,,,
400914937,2017-01-24,Wisconsin Badgers,Penn State Nittany Lions,73.8,65.6,139.4,,,,,,,,,,137,27,69.0,3.0,3.0,False,False,False,,,,,0.0,,,,,,14.787408366676976,10.213968509412432,4.573439857264544,,,,,,,,,
400915036,2017-02-07,Penn State Nittany Lions,Maryland Terrapins,,,,77.0,70.6,147.6,,,,,,,134,6,64.0,14.0,3.0,False,False,False,,,,,,,,,,0.0,10.213968509412432,12.695141455510884,-2.481172946098452,,,,,,,,,
400915179,2017-02-21,Penn State Nittany Lions,Purdue Boilermakers,61.2,72.0,133.2,75.2,66.6,141.8,,,,78.66666666666667,65.2,143.86666666666667,144,-4,62.0,14.0,7.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,18.93258727393362,-8.718618764521189,,,,,,,,,
400945733,2017-03-08,Nebraska Cornhuskers,Penn State Nittany Lions,,,,59.8,69.4,129.2,,,,,,,143,-9,71.0,38.0,15.0,False,False,True,,,,,,,,,,0.0,5.893400049870473,10.213968509412432,-4.320568459541959,,,,,,,,,
400945798,2017-03-09,Michigan State Spartans,Penn State Nittany Lions,71.0,70.4,141.4,64.6,72.8,137.4,,,,,,,129,27,72.0,11.0,1.0,False,True,True,,,,,0.0,,,,,0.0,17.585471382736248,10.213968509412432,7.371502873323816,,,,,,,,,
400986490,2018-01-05,Penn State Nittany Lions,Northwestern Wildcats,64.4,73.0,137.4,78.8,71.0,149.8,,,,72.6,69.66666666666667,142.26666666666668,141,15,75.0,302.0,14.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,7.211198018538384,3.002770490874048,,,,,,,,,
400986503,2018-01-12,Penn State Nittany Lions,Nebraska Cornhuskers,69.0,69.2,138.2,64.6,74.4,139.0,,,,,,,150,2,57.0,7.0,6.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,5.893400049870473,4.320568459541959,,,,,,,,,
400986529,2018-01-25,Ohio State Buckeyes,Penn State Nittany Lions,68.2,64.6,132.8,70.2,71.2,141.4,,,,,,,161,-3,75.0,3.0,13.0,False,False,False,,,,,0.0,,,,,0.0,13.881446041273204,10.213968509412432,3.667477531860772,,,,,,,,,
400986541,2018-01-31,Michigan State Spartans,Penn State Nittany Lions,78.8,68.4,147.2,72.6,72.2,144.8,83.4,63.46666666666667,146.86666666666667,,,,144,8,54.0,3.0,6.0,False,False,False,,,,,0.0,,,,,0.0,17.585471382736248,10.213968509412432,7.371502873323816,,,,,,,,,
400986570,2018-02-15,Penn State Nittany Lions,Ohio State Buckeyes,71.0,74.0,145.0,74.2,66.4,140.6,,,,71.46666666666667,68.73333333333333,140.2,135,23,66.0,15.0,5.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,13.881446041273204,-3.667477531860772,,,,,,,,,
400986576,2018-02-18,Purdue Boilermakers,Penn State Nittany Lions,66.8,66.4,133.2,76.6,69.6,146.2,77.8,62.93333333333333,140.73333333333332,,,,149,3,68.0,3.0,3.0,False,False,False,,,,,0.0,,,,,0.0,18.93258727393362,10.213968509412432,8.718618764521189,,,,,,,,,
400986582,2018-02-21,Penn State Nittany Lions,Michigan Wolverines,75.6,72.2,147.8,66.8,60.4,127.2,,,,70.6,67.13333333333334,137.73333333333332,135,-9,60.0,3.0,3.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,15.336992047065849,-5.123023537653417,,,,,,,,,
401082568,2018-11-27,Penn State Nittany Lions,Virginia Tech Hokies,73.0,71.8,144.8,76.0,62.6,138.6,68.13333333333334,71.66666666666667,139.8,72.2,70.26666666666667,142.46666666666667,125,1,72.0,279.0,3.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,11.561946973220213,-1.3479784638077792,,,,,,,,,
401082425,2018-12-01,Maryland Terrapins,Penn State Nittany Lions,71.0,75.8,146.8,69.2,68.4,137.6,69.66666666666667,76.33333333333333,146.0,67.2,70.0,137.2,125,7,61.0,13.0,4.0,False,False,False,,,,,0.0,,,,,0.0,12.695141455510884,10.213968509412432,2.481172946098452,,,,,,,,,
401082458,2019-01-03,Michigan Wolverines,Penn State Nittany Lions,70.6,56.2,126.8,67.4,66.4,133.8,73.0,59.333333333333336,132.33333333333334,67.66666666666667,71.06666666666666,138.73333333333332,123,13,45.0,4.0,33.0,False,False,False,,,,,0.0,,,,,0.0,15.336992047065849,10.213968509412432,5.123023537653417,,,,,,,,,
401082574,2019-01-06,Penn State Nittany Lions,Wisconsin Badgers,62.6,68.8,131.4,76.4,65.8,142.2,67.86666666666666,70.46666666666667,138.33333333333334,69.8,67.4,137.2,123,-19,56.0,3.0,3.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,14.787408366676976,-4.573439857264544,,,,,,,,,
401082484,2019-01-13,Penn State Nittany Lions,Michigan State Spartans,58.4,67.8,126.2,86.2,64.0,150.2,67.66666666666667,69.73333333333333,137.4,84.86666666666666,66.26666666666667,151.13333333333333,127,-15,64.0,7.0,5.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,17.585471382736248,-7.371502873323816,,,,,,,,,
401082407,2019-01-16,Penn State Nittany Lions,Iowa Hawkeyes,57.0,67.6,124.6,83.4,72.6,156.0,66.73333333333333,70.2,136.93333333333334,77.8,77.06666666666666,154.86666666666667,171,-7,85.0,3.0,4.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,13.699476648217637,-3.485508138805203,,,,,,,,,
401082576,2019-01-31,Penn State Nittany Lions,Purdue Boilermakers,60.8,73.0,133.8,70.0,65.0,135.0,67.53333333333333,71.2,138.73333333333332,73.33333333333333,67.66666666666667,141.0,189,-9,94.0,15.0,4.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,18.93258727393362,-8.718618764521189,,,,,,,,,
401082465,2019-02-12,Penn State Nittany Lions,Michigan Wolverines,67.0,79.6,146.6,66.2,57.2,123.4,68.46666666666667,73.33333333333333,141.8,68.13333333333334,58.53333333333333,126.66666666666669,144,6,67.0,12.0,3.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,15.336992047065849,-5.123023537653417,,,,,,,,,
401082577,2019-02-16,Purdue Boilermakers,Penn State Nittany Lions,76.4,69.6,146.0,71.0,79.8,150.8,74.8,67.73333333333333,142.53333333333333,70.06666666666666,72.73333333333333,142.8,140,12,63.0,4.0,4.0,False,False,False,,,,,0.0,,,,,0.0,18.93258727393362,10.213968509412432,8.718618764521189,,,,,,,,,
401082443,2019-02-27,Penn State Nittany Lions,Maryland Terrapins,73.4,80.8,154.2,63.0,59.4,122.4,69.13333333333334,73.6,142.73333333333332,65.26666666666667,61.73333333333333,127.0,139,17,62.0,11.0,4.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,12.695141455510884,-2.481172946098452,,,,,,,,,
401082578,2019-03-02,Wisconsin Badgers,Penn State Nittany Lions,63.4,65.0,128.4,77.8,78.8,156.6,67.46666666666667,60.86666666666667,128.33333333333334,69.26666666666667,72.73333333333333,142.0,118,4,59.0,4.0,3.0,False,False,False,,,,,0.0,,,,,0.0,14.787408366676976,10.213968509412432,4.573439857264544,,,,,,,,,
401120731,2019-03-14,Minnesota Golden Gophers,Penn State Nittany Lions,59.8,68.4,128.2,72.8,73.2,146.0,64.86666666666666,72.06666666666666,136.93333333333334,67.6,71.53333333333333,139.13333333333333,149,5,64.0,6.0,12.0,False,False,True,,,,,0.0,,,,,0.0,7.085228313976824,10.213968509412432,-3.128740195435608,,,,,,,,,
401166105,2019-12-07,Ohio State Buckeyes,Penn State Nittany Lions,74.8,57.8,132.6,69.2,68.8,138.0,67.26666666666667,66.86666666666666,134.13333333333333,67.86666666666666,71.6,139.46666666666667,180,32,81.0,8.0,268.0,False,False,False,,,,,0.0,,,,,0.0,13.881446041273204,10.213968509412432,3.667477531860772,,,,,,,,,
401166110,2019-12-10,Penn State Nittany Lions,Maryland Terrapins,69.0,76.2,145.2,75.0,59.0,134.0,67.53333333333333,74.93333333333334,142.46666666666667,71.06666666666666,64.66666666666667,135.73333333333332,145,7,70.0,3.0,3.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,12.695141455510884,-2.481172946098452,,,,,,,,,
401166123,2019-12-20,Penn State Nittany Lions,Central Connecticut Blue Devils,71.4,74.8,146.2,,,,67.73333333333333,74.46666666666667,142.2,,,,145,29,82.0,10.0,384.0,False,False,False,,,,,0.0,,,,,,10.213968509412432,-5.663176856203499,15.877145365615933,,,,,,,,,
401166139,2019-12-29,Penn State Nittany Lions,Cornell Big Red,73.2,74.2,147.4,67.6,67.8,135.4,69.33333333333333,73.53333333333333,142.86666666666667,,,,149,31,74.0,9.0,39.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,-0.0139685355027306,10.227937044915162,,,,,,,,,
401166150,2020-01-04,Penn State Nittany Lions,Iowa Hawkeyes,79.8,73.8,153.6,82.4,67.0,149.4,71.13333333333334,73.33333333333333,144.46666666666667,74.53333333333333,72.33333333333333,146.86666666666667,175,3,77.0,6.0,6.0,False,False,True,,,,,0.0,,,,,0.0,10.213968509412432,13.699476648217637,-3.485508138805203,,,,,,,,,
401166156,2020-01-07,Rutgers Scarlet Knights,Penn State Nittany Lions,70.8,69.0,139.8,83.2,75.6,158.8,65.4,68.46666666666667,133.86666666666667,73.13333333333334,74.66666666666667,147.8,133,11,61.0,30.0,3.0,False,False,False,,,,,0.0,,,,,0.0,9.720039823352574,10.213968509412432,-0.4939286860598582,,,,,,,,,
401166165,2020-01-11,Penn State Nittany Lions,Wisconsin Badgers,80.6,68.8,149.4,59.8,64.6,124.4,73.53333333333333,74.93333333333334,148.46666666666667,62.66666666666666,61.93333333333333,124.6,107,-9,53.0,4.0,8.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,14.787408366676976,-4.573439857264544,,,,,,,,,
401166178,2020-01-18,Penn State Nittany Lions,Ohio State Buckeyes,75.2,66.6,141.8,61.0,65.8,126.8,73.33333333333333,74.06666666666666,147.4,71.2,64.0,135.2,166,14,69.0,7.0,4.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,13.881446041273204,-3.667477531860772,,,,,,,,,
401166197,2020-01-29,Penn State Nittany Lions,Indiana Hoosiers,75.8,70.2,146.0,69.4,64.6,134.0,75.6,74.4,150.0,67.2,69.86666666666666,137.06666666666666,113,15,56.0,11.0,3.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,11.724820526235712,-1.5108520168232804,,,,,,,,,
401166201,2020-02-01,Nebraska Cornhuskers,Penn State Nittany Lions,67.8,68.6,136.4,70.6,68.2,138.8,65.6,72.13333333333334,137.73333333333332,74.4,71.73333333333333,146.13333333333333,140,-12,71.0,7.0,3.0,False,False,False,,,,,0.0,,,,,0.0,5.893400049870473,10.213968509412432,-4.320568459541959,,,,,,,,,
401166208,2020-02-04,Michigan State Spartans,Penn State Nittany Lions,68.4,57.6,126.0,68.0,63.8,131.8,76.2,59.0,135.2,73.46666666666667,69.4,142.86666666666667,145,-5,80.0,3.0,3.0,False,False,False,,,,,0.0,,,,,0.0,17.585471382736248,10.213968509412432,7.371502873323816,,,,,,,,,
401166215,2020-02-08,Penn State Nittany Lions,Minnesota Golden Gophers,70.8,63.4,134.2,58.4,66.8,125.2,73.46666666666667,69.46666666666667,142.93333333333334,63.86666666666667,70.06666666666666,133.93333333333334,160,6,58.0,4.0,9.0,False,False,False,,,,,0.0,,,,,0.0,10.213968509412432,7.085228313976824,3.128740195435608,,,,,,,,,
