game_id,date,home_team,away_team,home_pf5,home_pa5,home_tot5,away_pf5,away_pa5,away_tot5,home_pf15,home_pa15,home_tot15,away_pf15,away_pa15,away_tot15,target_total,target_margin,target_1h_total,rest_home,rest_away,b2b_home,b2b_away,neutral_site,home_efg5,home_tov_rate5,home_orb_rate5,home_ftr5,home_poss5,away_efg5,away_tov_rate5,away_orb_rate5,away_ftr5,away_poss5,home_rating_margin,away_rating_margin,rating_margin_diff,home_off_rating,away_off_rating,off_rating_diff,home_def_rating,away_def_rating,def_rating_diff,home_tempo_rating,away_tempo_rating,tempo_rating_sum
400918430,2016-11-11,Rhode Island Rams,Dartmouth Big Green,,,,,,,,,,,,,145,23,65.0,,,False,False,False,,,,,,,,,,,5.498631839383102,-1.898924771695998,7.3975566110791,,,,,,,,,
400918432,2016-11-29,Valparaiso Beacons,Rhode Island Rams,,,,,,,,,,,,,127,3,61.0,8.0,18.0,False,False,False,,,,,,,,,,,2.741474444698534,5.498631839383102,-2.757157394684568,,,,,,,,,
400918433,2016-12-03,Providence Friars,Rhode Island Rams,,,,,,,,,,,,,123,3,64.0,12.0,4.0,False,False,False,,,,,,,,,,,8.980514332026452,5.498631839383102,3.48188249264335,,,,,,,,,
400918304,2017-01-06,Dayton Flyers,Rhode Island Rams,,,,,,,,,,,,,131,3,52.0,48.0,34.0,False,False,False,,,,,,,,,,,10.830353243675065,5.498631839383102,5.331721404291961,,,,,,,,,
400918274,2017-02-03,Davidson Wildcats,Rhode Island Rams,,,,,,,,,,,,,129,-11,67.0,58.0,28.0,False,False,False,,,,,,,,,,,6.49096962425014,5.498631839383102,0.992337784867038,,,,,,,,,
400918313,2017-02-10,Rhode Island Rams,Dayton Flyers,68.0,63.0,131.0,,,,,,,,,,149,-1,66.0,7.0,14.0,False,False,False,,,,,0.0,,,,,,5.498631839383102,10.830353243675065,-5.331721404291961,,,,,,,,,
400946167,2017-03-10,Rhode Island Rams,St. Bonaventure Bonnies,66.0,65.8,131.8,,,,,,,,,,137,11,58.0,28.0,1.0,False,True,True,,,,,0.0,,,,,,5.498631839383102,2.46305772845662,3.035574110926482,,,,,,,,,
400946253,2017-03-11,Rhode Island Rams,Davidson Wildcats,68.4,65.4,133.8,74.0,76.4,150.4,,,,,,,144,24,80.0,1.0,1.0,True,True,True,,,,,0.0,,,,,0.0,5.498631839383102,6.49096962425014,-0.992337784867038,,,,,,,,,
400946285,2017-03-12,VCU Rams,Rhode Island Rams,81.0,66.0,147.0,73.2,64.8,138.0,,,,,,,133,-7,67.0,1.0,1.0,True,True,True,,,,,0.0,,,,,0.0,7.114087376169164,5.498631839383102,1.6154555367860617,,,,,,,,,
400946424,2017-03-17,Creighton Bluejays,Rhode Island Rams,66.8,70.2,137.0,74.4,64.0,138.4,77.0,72.46666666666667,149.46666666666667,,,,156,-12,59.0,6.0,5.0,False,False,True,,,,,0.0,,,,,0.0,14.514109727841817,5.498631839383102,9.015477888458715,,,,,,,,,
