game_id,date,home_team,away_team,home_pf5,home_pa5,home_tot5,away_pf5,away_pa5,away_tot5,home_pf15,home_pa15,home_tot15,away_pf15,away_pa15,away_tot15,target_total,target_margin,target_1h_total,rest_home,rest_away,b2b_home,b2b_away,neutral_site,home_efg5,home_tov_rate5,home_orb_rate5,home_ftr5,home_poss5,away_efg5,away_tov_rate5,away_orb_rate5,away_ftr5,away_poss5,home_rating_margin,away_rating_margin,rating_margin_diff,home_off_rating,away_off_rating,off_rating_diff,home_def_rating,away_def_rating,def_rating_diff,home_tempo_rating,away_tempo_rating,tempo_rating_sum
400926590,2016-11-21,Washington State Cougars,Loyola Chicago Ramblers,,,,,,,,,,,,,167,-9,68.0,,,False,False,True,,,,,,,,,,,6.482456978988719,7.718791129924963,-1.236334150936243,,,,,,,,,
400915614,2017-01-07,Washington State Cougars,Oregon Ducks,,,,82.8,67.0,149.8,,,,,,,151,-19,74.0,47.0,3.0,False,False,False,,,,,,,,,,0.0,6.482456978988719,14.596831796008162,-8.114374817019442,,,,,,,,,
400915643,2017-01-26,Arizona Wildcats,Washington State Cougars,81.6,71.0,152.6,,,,77.86666666666666,62.06666666666667,139.93333333333334,,,,141,17,72.0,5.0,19.0,False,False,False,,,,,0.0,,,,,,19.27645418837973,6.482456978988719,12.793997209391016,,,,,,,,,
400915650,2017-02-01,Washington State Cougars,UCLA Bruins,,,,90.0,86.2,176.2,,,,90.86666666666666,77.86666666666666,168.73333333333332,174,-16,78.0,6.0,7.0,False,False,False,,,,,,,,,,0.0,6.482456978988719,17.221933449702984,-10.739476470714266,,,,,,,,,
400915703,2017-03-04,UCLA Bruins,Washington State Cougars,88.4,68.6,157.0,,,,89.73333333333333,76.26666666666667,166.0,,,,145,9,69.0,3.0,31.0,False,False,False,,,,,0.0,,,,,,17.221933449702984,6.482456978988719,10.739476470714266,,,,,,,,,
400945499,2017-03-08,Colorado Buffaloes,Washington State Cougars,75.4,83.6,159.0,70.8,84.8,155.6,,,,,,,136,10,68.0,18.0,4.0,False,False,True,,,,,0.0,,,,,0.0,9.69206927548102,6.482456978988719,3.2096122964923,,,,,,,,,
400988226,2017-11-23,Washington State Cougars,Saint Joseph's Hawks,67.6,81.8,149.4,,,,,,,,,,146,4,62.0,260.0,260.0,False,False,True,,,,,0.0,,,,,,6.482456978988719,2.554373365977737,3.9280836130109824,,,,,,,,,
400988342,2018-01-31,Washington State Cougars,Arizona Wildcats,69.4,79.0,148.4,79.2,71.2,150.4,,,,80.66666666666667,68.33333333333333,149.0,172,-28,87.0,69.0,4.0,False,False,False,,,,,0.0,,,,,0.0,6.482456978988719,19.27645418837973,-12.793997209391016,,,,,,,,,
400988351,2018-02-04,Washington State Cougars,Arizona State Sun Devils,71.4,83.2,154.6,75.8,74.6,150.4,,,,81.26666666666667,74.66666666666667,155.93333333333334,166,-10,78.0,4.0,3.0,False,False,False,,,,,0.0,,,,,0.0,6.482456978988719,7.128169422576285,-0.6457124435875654,,,,,,,,,
401020046,2018-03-07,Oregon Ducks,Washington State Cougars,79.0,79.8,158.8,71.2,81.8,153.0,78.2,72.93333333333334,151.13333333333333,,,,126,2,41.0,11.0,31.0,False,False,True,,,,,0.0,,,,,0.0,14.596831796008162,6.482456978988719,8.114374817019442,,,,,,,,,
401085296,2018-11-19,Washington State Cougars,Cal Poly Mustangs,70.0,79.2,149.2,,,,,,,,,,154,14,81.0,257.0,256.0,False,False,False,,,,,0.0,,,,,,6.482456978988719,-4.44463660309438,10.9270935820831,,,,,,,,,
401085325,2018-11-27,Washington State Cougars,Cal State Northridge Matadors,74.2,78.6,152.8,,,,,,,,,,197,9,90.0,8.0,628.0,False,False,False,,,,,0.0,,,,,,6.482456978988719,-2.3918774531059555,8.874334432094674,,,,,,,,,
401120752,2019-03-13,Oregon Ducks,Washington State Cougars,70.2,70.2,140.4,79.8,83.2,163.0,74.53333333333333,72.33333333333333,146.86666666666667,,,,135,33,57.0,102.0,106.0,False,False,True,,,,,0.0,,,,,0.0,14.596831796008162,6.482456978988719,8.114374817019442,,,,,,,,,
401170559,2019-11-07,Washington State Cougars,Seattle U Redhawks,75.6,80.0,155.6,77.8,71.6,149.4,,,,,,,139,31,64.0,239.0,238.0,False,False,False,,,,,0.0,,,,,0.0,6.482456978988719,2.9776988151689165,3.504758163819803,,,,,,,,,
401170669,2020-01-16,Washington State Cougars,Oregon Ducks,77.0,73.2,150.2,76.8,67.8,144.6,,,,76.8,64.66666666666667,141.46666666666667,133,11,71.0,70.0,5.0,False,False,False,,,,,0.0,,,,,0.0,6.482456978988719,14.596831796008162,-8.114374817019442,,,,,,,,,
401170676,2020-01-23,Colorado Buffaloes,Washington State Cougars,68.6,60.2,128.8,79.0,72.6,151.6,67.33333333333333,59.66666666666666,127.0,73.26666666666667,78.86666666666666,152.13333333333333,134,22,71.0,5.0,7.0,False,False,False,,,,,0.0,,,,,0.0,9.69206927548102,6.482456978988719,3.2096122964923,,,,,,,,,
401211621,2020-03-11,Colorado Buffaloes,Washington State Cougars,65.6,66.2,131.8,73.4,74.2,147.6,70.2,64.86666666666666,135.06666666666666,71.73333333333333,78.2,149.93333333333334,150,-14,60.0,10.0,48.0,False,False,True,,,,,0.0,,,,,0.0,9.69206927548102,6.482456978988719,3.2096122964923,,,,,,,,,
401211625,2020-03-12,Arizona State Sun Devils,Washington State Cougars,64.0,71.6,135.6,69.2,69.0,138.2,70.06666666666666,73.46666666666667,143.53333333333333,72.8,77.06666666666666,149.86666666666667,0,0,,21.0,1.0,False,True,True,,,,,0.0,,,,,0.0,7.128169422576285,6.482456978988719,0.6457124435875654,,,,,,,,,
401265422,2021-02-13,Washington State Cougars,USC Trojans,59.0,52.2,111.2,54.4,57.4,111.8,68.66666666666667,71.8,140.46666666666667,63.93333333333333,67.13333333333334,131.06666666666666,141,-11,76.0,338.0,2.0,False,False,False,,,,,0.0,,,,,0.0,6.482456978988719,10.115580145627325,-3.6331231666386055,,,,,,,,,
401303922,2021-03-10,Arizona State Sun Devils,Washington State Cougars,54.2,62.8,117.0,55.0,56.6,111.6,60.6,64.46666666666667,125.06666666666666,67.73333333333333,70.53333333333333,138.26666666666668,123,5,49.0,6.0,25.0,False,False,True,,,,,0.0,,,,,0.0,7.128169422576285,6.482456978988719,0.6457124435875654,,,,,,,,,
401370907,2021-12-04,Washington State Cougars,USC Trojans,52.4,57.2,109.6,81.8,70.4,152.2,67.13333333333334,69.66666666666667,136.8,77.26666666666667,69.46666666666667,146.73333333333332,124,-2,62.0,269.0,3.0,False,False,False,,,,,0.0,,,,,0.0,6.482456978988719,10.115580145627325,-3.6331231666386055,,,,,,,,,
401377455,2022-02-10,Washington State Cougars,Arizona Wildcats,53.4,54.2,107.6,73.0,67.8,140.8,67.0,69.0,136.0,63.73333333333333,53.46666666666667,117.2,132,-12,53.0,68.0,3.0,False,False,False,,,,,0.0,,,,,0.0,6.482456978988719,19.27645418837973,-12.793997209391016,,,,,,,,,
401377467,2022-02-17,UCLA Bruins,Washington State Cougars,71.8,68.6,140.4,49.0,55.0,104.0,64.46666666666667,57.4,121.86666666666666,66.0,69.06666666666666,135.06666666666666,132,20,68.0,5.0,7.0,False,False,False,,,,,0.0,,,,,0.0,17.221933449702984,6.482456978988719,10.739476470714266,,,,,,,,,
401377474,2022-02-20,USC Trojans,Washington State Cougars,68.2,65.2,133.4,60.2,70.2,130.4,66.33333333333333,62.06666666666667,128.4,64.93333333333334,67.46666666666667,132.4,122,2,60.0,3.0,3.0,False,False,False,,,,,0.0,,,,,0.0,10.115580145627325,6.482456978988719,3.6331231666386055,,,,,,,,,
401409376,2022-03-09,Washington State Cougars,California Golden Bears,59.2,67.4,126.6,62.6,81.0,143.6,63.73333333333333,65.73333333333333,129.46666666666667,58.46666666666667,66.93333333333334,125.4,125,7,52.0,17.0,4.0,False,False,True,,,,,0.0,,,,,0.0,6.482456978988719,3.605608818819044,2.876848160169676,,,,,,,,,
401409380,2022-03-10,UCLA Bruins,Washington State Cougars,75.0,61.8,136.8,60.6,66.4,127.0,74.2,62.6,136.8,64.0,65.4,129.4,140,10,68.0,5.0,1.0,False,True,True,,,,,0.0,,,,,0.0,17.221933449702984,6.482456978988719,10.739476470714266,,,,,,,,,
