week,crps_total,crps_margin,covered_80_total,covered_80_margin,crps_total_med,crps_margin_med,alert_low_cov_total,alert_low_cov_margin,alert_high_crps_total,alert_high_crps_margin
2025-11-03/2025-11-09,3.165314090440366,1.9752298397089452,0.9029704066634628,0.8281510052186744,3.165314090440366,1.9752298397089452,0,0,0,0
2025-11-10/2025-11-16,1.308143956017777,1.3472431703815932,0.8936293078832535,0.8848657073836413,2.2367290232290715,1.6612365050452693,0,0,0,0
2025-11-17/2025-11-23,1.365140072253891,1.324972045612865,0.904826121704138,0.9357268886662996,1.365140072253891,1.3472431703815932,0,0,0,0
2025-11-24/2025-11-30,5.248571596942745,3.842919607705991,0.9286714512341027,0.9034057042726806,2.2652270813471285,1.6612365050452693,0,0,1,1
2025-12-01/2025-12-07,4.941821796052931,2.7559793197831466,0.12030075187969924,0.14285714285714285,3.153480934153411,2.05161124508237,1,1,1,1
2025-12-08/2025-12-14,,,0.0,0.0,4.941821796052931,2.7559793197831466,1,1,0,0
2025-12-15/2025-12-21,21.154899329980733,27.33852556231914,0.07962529274004683,0.08430913348946135,5.248571596942745,3.842919607705991,1,1,1,1
2025-12-22/2025-12-28,,,0.0,0.0,13.048360563016832,15.047252441051144,1,1,0,0
2025-12-29/2026-01-04,,,0.0,0.0,21.154899329980733,27.33852556231914,1,1,0,0
2026-01-05/2026-01-11,,,0.0,0.0,21.154899329980733,27.33852556231914,1,1,0,0
2026-01-12/2026-01-18,,,0.0,0.0,,,1,1,0,0
2026-01-19/2026-01-25,,,0.0,0.0,,,1,1,0,0
2026-01-26/2026-02-01,,,0.0,0.0,,,1,1,0,0
2026-02-02/2026-02-08,,,0.0,0.0,,,1,1,0,0
2026-02-09/2026-02-15,,,0.0,0.0,,,1,1,0,0
