date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,start_min,end_min,half,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end
2026-01-23,401804895,Louisiana Tech Bulldogs,Kennesaw State Owls,2026-01-23 14:00,2026-01-23T19:00:00Z,CST,0,5,1,9.83725,9.64675,16.886200086783315,0.1905,5.0,10.0,15.0,5.0,9.0,15.0,16.05017272341176,16.832133111386224,17.725802126214184,-6.0,0.0,6.0
2026-01-23,401804895,Louisiana Tech Bulldogs,Kennesaw State Owls,2026-01-23 14:00,2026-01-23T19:00:00Z,CST,5,10,1,19.31425,18.88975,34.25762442365658,0.4245,12.0,19.0,27.0,12.0,19.0,26.0,32.344709313824566,34.22279448056432,36.27161466246222,-8.0,0.0,9.0
2026-01-23,401804895,Louisiana Tech Bulldogs,Kennesaw State Owls,2026-01-23 14:00,2026-01-23T19:00:00Z,CST,10,15,1,28.82525,28.1295,52.50600390325268,0.69575,20.0,28.0,38.0,19.0,28.0,37.0,49.57170285318777,52.51488249517266,55.45806213715756,-10.0,1.0,12.0
2026-01-23,401804895,Louisiana Tech Bulldogs,Kennesaw State Owls,2026-01-23 14:00,2026-01-23T19:00:00Z,CST,15,20,1,36.28075,35.34625,70.84230424610979,0.9345,26.0,36.0,47.0,25.0,35.0,46.0,68.01406767657693,70.736289758808,73.77976786316573,-11.0,1.0,13.0
2026-01-23,401804895,Louisiana Tech Bulldogs,Kennesaw State Owls,2026-01-23 14:00,2026-01-23T19:00:00Z,CST,20,25,2,46.0685,44.9045,89.38646687614514,1.164,35.0,46.0,58.0,34.0,45.0,57.0,86.29842860295443,89.21929048712747,92.65559858615455,-12.0,1.0,15.0
2026-01-23,401804895,Louisiana Tech Bulldogs,Kennesaw State Owls,2026-01-23 14:00,2026-01-23T19:00:00Z,CST,25,30,2,55.565,54.2005,107.75437626665033,1.3645,43.0,55.0,68.0,42.0,54.0,67.0,104.47981727672548,107.6207973635149,111.11077523772538,-14.0,1.0,17.0
2026-01-23,401804895,Louisiana Tech Bulldogs,Kennesaw State Owls,2026-01-23 14:00,2026-01-23T19:00:00Z,CST,30,35,2,65.1865,63.418,124.94050919323364,1.7685,52.0,65.0,78.0,50.0,63.0,77.0,120.71259716539836,124.81646964746324,129.12553575363134,-15.0,2.0,18.0
2026-01-23,401804895,Louisiana Tech Bulldogs,Kennesaw State Owls,2026-01-23 14:00,2026-01-23T19:00:00Z,CST,35,40,2,72.87975,70.90075,146.18371961191968,1.979,59.0,73.0,86.0,57.0,71.0,85.0,143.77908765011037,146.2091192276949,148.63915080527946,-15.0,2.0,19.0
2026-01-23,401804897,Jacksonville State Gamecocks,Middle Tennessee Blue Raiders,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,0,5,1,10.4075,10.243,17.016508200007916,0.1645,5.0,10.0,16.0,5.0,10.0,15.0,16.161881350265254,16.94384173823972,17.949219379921175,-6.0,0.0,7.0
2026-01-23,401804897,Jacksonville State Gamecocks,Middle Tennessee Blue Raiders,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,5,10,1,20.3635,20.16725,34.65488212017583,0.19625,13.0,20.0,28.0,13.0,20.0,28.0,32.68617934414088,34.56426451088063,36.78381970793669,-9.0,0.0,9.0
