date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,segment,half,start_min,end_min,mu_home_pts_seg,mu_away_pts_seg,mu_total_pts_seg,mu_margin_pts_seg,q10_home_pts_seg,q50_home_pts_seg,q90_home_pts_seg,q10_away_pts_seg,q50_away_pts_seg,q90_away_pts_seg,q10_total_pts_seg,q50_total_pts_seg,q90_total_pts_seg,q10_margin_pts_seg,q50_margin_pts_seg,q90_margin_pts_seg,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end,mu_home_poss_seg,mu_away_poss_seg,mu_total_poss_seg,q10_total_poss_seg,q50_total_poss_seg,q90_total_poss_seg,mu_home_tov_seg,mu_away_tov_seg,mu_total_tov_seg,q10_total_tov_seg,q50_total_tov_seg,q90_total_tov_seg,mu_home_fta_seg,mu_away_fta_seg,mu_total_fta_seg,q10_total_fta_seg,q50_total_fta_seg,q90_total_fta_seg,mu_home_fga2_seg,mu_away_fga2_seg,mu_total_fga2_seg,q10_total_fga2_seg,q50_total_fga2_seg,q90_total_fga2_seg,mu_home_fga3_seg,mu_away_fga3_seg,mu_total_fga3_seg,q10_total_fga3_seg,q50_total_fga3_seg,q90_total_fga3_seg
2026-02-05,401804914,Western Kentucky Hilltoppers,Jacksonville State Gamecocks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,1,1,0,5,8.5525,8.42975,16.98225,0.12275,4.0,8.0,13.0,4.0,8.0,13.0,11.0,17.0,24.0,-5.0,0.0,5.0,8.5525,8.42975,15.764941432478777,0.12275,4.0,8.0,13.0,4.0,8.0,13.0,9.782691432478774,15.782691432478773,22.78269143247877,-5.0,0.0,5.0,8.727,8.64925,17.37625,12.0,17.0,23.0,1.43225,1.466,2.89825,1.0,3.0,5.0,1.6535,1.675,3.3285,1.0,3.0,6.0,4.09625,4.12225,8.2185,5.0,8.0,12.0,2.2965,2.28075,4.57725,2.0,4.0,7.0
2026-02-05,401804914,Western Kentucky Hilltoppers,Jacksonville State Gamecocks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,2,1,5,10,8.58075,8.498,17.07875,0.08275,4.0,8.0,13.0,4.0,8.0,13.0,11.0,17.0,24.0,-5.0,0.0,6.0,17.13325,16.92775,31.93954474090309,0.2055,11.0,17.0,24.0,11.0,17.0,24.0,21.878544740903088,31.878544740903084,42.87854474090308,-8.0,0.0,8.0,8.74125,8.738,17.47925,12.0,17.0,24.0,1.4545,1.44775,2.90225,1.0,3.0,5.0,1.64075,1.6605,3.30125,1.0,3.0,6.0,4.1525,4.14675,8.29925,5.0,8.0,12.0,2.3665,2.33025,4.69675,2.0,4.0,8.0
2026-02-05,401804914,Western Kentucky Hilltoppers,Jacksonville State Gamecocks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,3,1,10,15,8.648,8.498,17.146,0.15,5.0,8.0,13.0,4.0,8.0,13.0,11.0,17.0,24.0,-5.0,0.0,6.0,25.78125,25.42575,48.44387913858611,0.3555,17.0,26.0,35.0,17.0,25.0,34.0,34.236879138586104,48.2368791385861,64.23687913858609,-10.0,0.0,10.0,8.732,8.745,17.477,12.0,17.0,24.0,1.434,1.46425,2.89825,1.0,3.0,5.0,1.668,1.69175,3.35975,1.0,3.0,6.0,4.111,4.10725,8.21825,5.0,8.0,12.0,2.33475,2.313,4.64775,2.0,4.0,7.0
2026-02-05,401804914,Western Kentucky Hilltoppers,Jacksonville State Gamecocks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,4,1,15,20,8.514,8.46575,16.97975,0.04825,5.0,8.0,13.0,4.0,8.0,13.0,11.0,17.0,24.0,-5.0,0.0,6.0,34.29525,33.8915,68.45662807793352,0.40375,23.0,34.0,46.0,23.0,33.0,45.0,50.26987807793351,68.2698780779335,87.2698780779335,-12.0,0.0,12.0,8.7005,8.7685,17.469,12.0,17.0,23.0,1.45825,1.43275,2.891,1.0,3.0,5.0,1.67725,1.67925,3.3565,1.0,3.0,6.0,4.12775,4.15775,8.2855,5.0,8.0,12.0,2.31675,2.27875,4.5955,2.0,4.0,8.0
2026-02-05,401804914,Western Kentucky Hilltoppers,Jacksonville State Gamecocks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,5,2,20,25,9.3005,9.70225,19.00275,-0.40175,5.0,9.0,14.0,5.0,10.0,14.0,13.0,19.0,26.0,-6.0,0.0,5.0,43.59575,43.59375,84.88553193737582,0.002,32.0,43.0,55.0,32.0,43.0,56.0,65.6960319373758,84.6960319373758,104.6960319373758,-13.0,0.0,13.0,8.92275,8.95925,17.882,12.0,18.0,24.0,1.47775,1.4705,2.94825,1.0,3.0,5.0,1.7015,1.7015,3.403,1.0,3.0,6.0,4.235,4.24175,8.47675,5.0,8.0,12.0,2.391,2.40025,4.79125,2.0,5.0,8.0
2026-02-05,401804914,Western Kentucky Hilltoppers,Jacksonville State Gamecocks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,6,2,25,30,9.29475,9.7345,19.02925,-0.43975,5.0,9.0,14.0,5.0,9.0,14.0,13.0,19.0,26.0,-6.0,0.0,5.0,52.8905,53.32825,104.46567598144772,-0.43775,40.0,53.0,66.0,41.0,53.0,66.0,83.24692598144773,104.24692598144772,125.24692598144772,-14.0,0.0,14.0,8.92675,8.89025,17.817,12.0,18.0,24.0,1.45475,1.4695,2.92425,1.0,3.0,5.0,1.695,1.7215,3.4165,1.0,3.0,6.0,4.23775,4.14125,8.379,5.0,8.0,12.0,2.4015,2.39475,4.79625,2.0,5.0,8.0
2026-02-05,401804914,Western Kentucky Hilltoppers,Jacksonville State Gamecocks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,7,2,30,35,9.28775,9.76975,19.0575,-0.482,5.0,9.0,14.0,5.0,10.0,14.0,12.0,19.0,26.0,-6.0,-1.0,5.0,62.17825,63.098,124.78360103913536,-0.91975,49.0,62.0,76.0,49.0,63.0,77.0,102.50735103913536,124.50735103913536,147.50735103913536,-17.0,-1.0,15.0,8.9915,9.029,18.0205,12.0,18.0,24.0,1.48775,1.482,2.96975,1.0,3.0,5.0,1.7135,1.707,3.4205,1.0,3.0,6.0,4.26425,4.2465,8.51075,5.0,8.0,13.0,2.403,2.40225,4.80525,2.0,5.0,8.0
2026-02-05,401804914,Western Kentucky Hilltoppers,Jacksonville State Gamecocks,2026-02-05 21:00,2026-02-06T02:00:00Z,EST,8,2,35,40,9.289,9.75825,19.04725,-0.46925,5.0,9.0,14.0,6.0,9.0,14.0,13.0,19.0,26.0,-6.0,0.0,5.0,71.46725,72.85625,144.3235,-1.389,57.0,71.0,87.0,58.0,73.0,88.0,119.0,144.0,170.0,-19.0,-1.0,16.0,8.97425,8.93675,17.911,12.0,18.0,24.0,1.50125,1.4915,2.99275,1.0,3.0,5.0,1.73,1.7195,3.4495,1.0,3.0,6.0,4.185,4.25975,8.44475,5.0,8.0,12.0,2.35625,2.3905,4.74675,2.0,5.0,8.0
2026-02-05,401805187,Utah Valley Wolverines,Abilene Christian Wildcats,2026-02-05 20:00,2026-02-06T01:00:00Z,EST,1,1,0,5,8.49125,8.664,17.15525,-0.17275,4.0,8.0,13.0,5.0,8.0,13.0,11.0,17.0,24.0,-6.0,0.0,5.0,8.49125,8.664,15.937941432478778,-0.17275,4.0,8.0,13.0,5.0,8.0,13.0,9.782691432478773,15.782691432478776,22.78269143247877,-6.0,0.0,5.0,8.60775,8.61025,17.218,12.0,17.0,23.0,1.44275,1.4145,2.85725,1.0,3.0,5.0,1.7,1.668,3.368,1.0,3.0,6.0,4.03475,4.0945,8.12925,5.0,8.0,12.0,2.29025,2.293,4.58325,2.0,4.0,7.0
2026-02-05,401805187,Utah Valley Wolverines,Abilene Christian Wildcats,2026-02-05 20:00,2026-02-06T01:00:00Z,EST,2,1,5,10,8.45075,8.78275,17.2335,-0.332,5.0,8.0,13.0,5.0,9.0,13.0,11.0,17.0,24.0,-6.0,0.0,5.0,16.942,17.44675,32.2672947409031,-0.50475,11.0,17.0,24.0,11.0,17.0,24.0,21.878544740903084,31.87854474090309,42.87854474090308,-8.0,-1.0,7.0,8.55175,8.654,17.20575,12.0,17.0,23.0,1.4215,1.42725,2.84875,1.0,3.0,5.0,1.71275,1.65275,3.3655,1.0,3.0,6.0,4.05025,4.0515,8.10175,5.0,8.0,12.0,2.266,2.33475,4.60075,2.0,4.0,8.0
