date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,segment_probs_source,segment_probs_half1_len_passed,segment_probs_half2_len_passed,segment_probs_half1_hash_passed,segment_probs_half2_hash_passed,segment,half,start_min,end_min,mu_home_pts_seg,mu_away_pts_seg,mu_total_pts_seg,mu_margin_pts_seg,q10_home_pts_seg,q50_home_pts_seg,q90_home_pts_seg,q10_away_pts_seg,q50_away_pts_seg,q90_away_pts_seg,q10_total_pts_seg,q50_total_pts_seg,q90_total_pts_seg,q10_margin_pts_seg,q50_margin_pts_seg,q90_margin_pts_seg,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end,mu_home_poss_seg,mu_away_poss_seg,mu_total_poss_seg,q10_total_poss_seg,q50_total_poss_seg,q90_total_poss_seg,mu_home_tov_seg,mu_away_tov_seg,mu_total_tov_seg,q10_total_tov_seg,q50_total_tov_seg,q90_total_tov_seg,mu_home_fta_seg,mu_away_fta_seg,mu_total_fta_seg,q10_total_fta_seg,q50_total_fta_seg,q90_total_fta_seg,mu_home_fga2_seg,mu_away_fga2_seg,mu_total_fga2_seg,q10_total_fga2_seg,q50_total_fga2_seg,q90_total_fga2_seg,mu_home_fga3_seg,mu_away_fga3_seg,mu_total_fga3_seg,q10_total_fga3_seg,q50_total_fga3_seg,q90_total_fga3_seg
2026-02-08,401809359,Furman Paladins,UNC Greensboro Spartans,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,1,1,0,5,8.309,8.027,16.336,0.282,4.0,8.0,13.0,4.0,8.0,12.0,10.0,16.0,23.0,-5.0,0.0,6.0,8.309,8.027,16.089257615387453,0.282,4.0,8.0,13.0,4.0,8.0,12.0,9.753257615387456,15.753257615387456,22.753257615387454,-5.0,0.0,6.0,8.228,8.27025,16.49825,11.0,16.0,22.0,1.46,1.458,2.918,1.0,3.0,5.0,1.56675,1.55175,3.1185,1.0,3.0,6.0,3.858,3.86875,7.72675,4.0,8.0,11.0,2.172,2.17,4.342,2.0,4.0,7.0
2026-02-08,401809359,Furman Paladins,UNC Greensboro Spartans,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,2,1,5,10,8.474,8.17875,16.65275,0.29525,4.0,8.0,13.0,4.0,8.0,12.0,11.0,16.0,23.0,-5.0,0.0,6.0,16.783,16.20575,32.400205350535394,0.57725,11.0,16.0,23.0,10.0,16.0,23.0,22.41145535053539,32.41145535053539,42.4114553505354,-7.0,1.0,8.0,8.39025,8.30575,16.696,11.0,17.0,22.0,1.4555,1.5015,2.957,1.0,3.0,5.0,1.6075,1.589,3.1965,1.0,3.0,6.0,3.90675,3.93675,7.8435,4.0,8.0,11.0,2.23125,2.17925,4.4105,2.0,4.0,7.0
2026-02-08,401809359,Furman Paladins,UNC Greensboro Spartans,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,3,1,10,15,8.747,8.4015,17.1485,0.3455,5.0,9.0,13.0,4.0,8.0,13.0,11.0,17.0,23.0,-5.0,0.0,6.0,25.53,24.60725,48.74807075035399,0.92275,17.0,25.0,34.0,16.0,25.0,33.0,35.61082075035398,48.61082075035398,62.610820750354,-9.0,1.0,11.0,8.7525,8.78725,17.53975,12.0,17.0,23.0,1.517,1.53125,3.04825,1.0,3.0,5.0,1.63475,1.62425,3.259,1.0,3.0,6.0,4.0865,4.05725,8.14375,5.0,8.0,12.0,2.25125,2.29975,4.551,2.0,4.0,7.0
2026-02-08,401809359,Furman Paladins,UNC Greensboro Spartans,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,4,1,15,20,8.9655,8.7555,17.721,0.21,5.0,9.0,13.0,5.0,9.0,13.0,11.0,18.0,24.0,-5.0,0.0,6.0,34.4955,33.36275,68.14558657863326,1.13275,24.0,34.0,45.0,23.0,33.0,44.0,51.28733657863326,68.28733657863326,85.28733657863327,-11.0,1.0,13.0,8.97775,8.98525,17.963,13.0,18.0,24.0,1.51975,1.53125,3.051,1.0,3.0,5.0,1.7155,1.7165,3.432,1.0,3.0,6.0,4.25325,4.2065,8.45975,5.0,8.0,12.0,2.375,2.3675,4.7425,2.0,5.0,8.0
2026-02-08,401809359,Furman Paladins,UNC Greensboro Spartans,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,5,2,20,25,9.0945,8.8935,17.988,0.201,5.0,9.0,13.0,5.0,9.0,13.0,12.0,18.0,25.0,-5.0,0.0,6.0,43.59,42.25625,83.50780761081595,1.33375,33.0,43.0,55.0,32.0,42.0,53.0,64.07838805628059,83.66862188489398,104.2588557135074,-12.0,1.0,14.099999999999907,8.73375,8.65,17.38375,12.0,17.0,23.0,1.52175,1.53225,3.054,1.0,3.0,5.0,1.657,1.649,3.306,1.0,3.0,6.0,4.04125,4.08775,8.129,5.0,8.0,12.0,2.26525,2.25225,4.5175,2.0,4.0,7.0
2026-02-08,401809359,Furman Paladins,UNC Greensboro Spartans,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,6,2,25,30,8.97875,8.749,17.72775,0.22975,5.0,9.0,13.0,5.0,9.0,13.0,12.0,17.0,24.0,-5.0,0.0,6.0,52.56875,51.00525,100.79501290379464,1.5635,41.0,52.0,64.0,40.0,51.0,62.0,78.05467379472393,100.23514145195072,124.41560910917752,-13.0,2.0,16.0,8.51725,8.5605,17.07775,12.0,17.0,23.0,1.50775,1.44525,2.953,1.0,3.0,5.0,1.62175,1.62275,3.2445,1.0,3.0,6.0,3.96275,3.9735,7.93625,4.0,8.0,12.0,2.25525,2.269,4.52425,2.0,4.0,7.0
2026-02-08,401809359,Furman Paladins,UNC Greensboro Spartans,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,7,2,30,35,9.19175,8.93675,18.1285,0.255,5.0,9.0,14.0,5.0,9.0,13.0,12.0,18.0,25.0,-5.0,0.0,6.0,61.7605,59.942,119.4925225276958,1.8185,49.0,62.0,74.0,47.0,60.0,72.0,101.01249343685814,119.67574198751912,137.79436318493913,-13.0,2.0,17.0,8.6605,8.691,17.3515,12.0,17.0,23.0,1.54,1.559,3.099,1.0,3.0,5.0,1.6475,1.675,3.3225,1.0,3.0,6.0,4.08125,4.07375,8.155,5.0,8.0,12.0,2.28575,2.3145,4.60025,2.0,4.0,7.0
2026-02-08,401809359,Furman Paladins,UNC Greensboro Spartans,2026-02-08 13:00,2026-02-08T18:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,8,2,35,40,10.21,10.0275,20.2375,0.1825,6.0,10.0,15.0,6.0,10.0,15.0,14.0,20.0,27.0,-6.0,0.0,6.0,71.9705,69.9695,141.94,2.001,58.0,72.0,86.0,56.0,70.0,84.0,120.0,142.0,164.0,-15.0,2.0,18.0,9.7385,9.7485,19.487,14.0,19.0,26.0,1.68325,1.67175,3.355,1.0,3.0,6.0,1.85775,1.84425,3.702,1.0,3.0,7.0,4.53925,4.582,9.12125,5.0,9.0,13.0,2.5745,2.4935,5.068,2.0,5.0,8.0
2026-02-08,401825501,Iowa Hawkeyes,Northwestern Wildcats,2026-02-08 15:00,2026-02-08T20:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,1,1,0,5,10.055,9.865,19.92,0.19,6.0,10.0,15.0,6.0,10.0,14.0,14.0,20.0,27.0,-6.0,0.0,6.0,10.055,9.865,19.673257615387463,0.19,6.0,10.0,15.0,6.0,10.0,14.0,13.75325761538746,19.753257615387454,26.753257615387454,-6.0,0.0,6.0,10.23,10.32225,20.55225,15.0,20.0,26.0,1.794,1.76775,3.56175,1.0,3.0,6.0,1.9815,1.92025,3.90175,1.0,4.0,7.0,4.77575,4.8095,9.58525,6.0,9.0,14.0,2.68175,2.71725,5.399,3.0,5.0,8.0
2026-02-08,401825501,Iowa Hawkeyes,Northwestern Wildcats,2026-02-08 15:00,2026-02-08T20:00:00Z,EST,base,4,4,10bd9d660db9,1eda605b8ee7,2,1,5,10,10.2205,10.07375,20.29425,0.14675,6.0,10.0,15.0,6.0,10.0,15.0,14.0,20.0,27.0,-6.0,0.0,6.0,20.2755,19.93875,39.625705350535405,0.33675,14.0,20.0,27.0,13.0,20.0,27.0,29.4114553505354,39.4114553505354,50.4114553505354,-9.0,0.0,9.0,10.514,10.341,20.855,15.0,21.0,27.0,1.831,1.80275,3.63375,1.0,3.0,6.0,1.972,1.9935,3.9655,1.0,4.0,7.0,4.852,4.862,9.714,6.0,10.0,14.0,2.72925,2.7385,5.46775,3.0,5.0,9.0
