date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,abs_margin_proxy,abs_margin_proxy_source,segment_probs_source,segment_probs_half1_len_passed,segment_probs_half2_len_passed,segment_probs_half1_hash_passed,segment_probs_half2_hash_passed,segment,half,start_min,end_min,mu_home_pts_seg,mu_away_pts_seg,mu_total_pts_seg,mu_margin_pts_seg,q10_home_pts_seg,q50_home_pts_seg,q90_home_pts_seg,q10_away_pts_seg,q50_away_pts_seg,q90_away_pts_seg,q10_total_pts_seg,q50_total_pts_seg,q90_total_pts_seg,q10_margin_pts_seg,q50_margin_pts_seg,q90_margin_pts_seg,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,1,1,0,5,8.557,8.681,17.238,-0.124,5.0,8.0,12.0,5.0,8.0,13.0,12.0,17.0,23.0,-5.0,0.0,5.0,8.557,8.681,16.85881349708821,-0.124,5.0,8.0,12.0,5.0,8.0,13.0,11.620813497088209,16.62081349708821,22.62081349708821,-5.0,0.0,5.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,2,1,5,10,8.4995,8.70275,17.20225,-0.20325,5.0,8.0,12.0,5.0,9.0,13.0,12.0,17.0,23.0,-5.0,0.0,5.0,17.0565,17.38375,33.63330556560499,-0.32725,12.0,17.0,22.0,12.0,17.0,23.0,25.193055565604997,33.19305556560499,42.193055565604986,-7.0,0.0,7.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,3,1,10,15,8.7805,8.944,17.7245,-0.1635,5.0,9.0,13.0,5.0,9.0,13.0,12.0,18.0,24.0,-5.0,0.0,5.0,25.837,26.32775,51.4136190626932,-0.49075,19.0,26.0,33.0,19.0,26.0,33.0,40.2488690626932,51.2488690626932,63.2488690626932,-9.0,0.0,8.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,4,1,15,20,8.972,9.13725,18.10925,-0.16525,5.0,9.0,13.0,5.0,9.0,13.0,12.0,18.0,24.0,-5.0,0.0,5.0,34.809,35.465,70.274,-0.656,27.0,35.0,43.0,27.0,35.0,44.0,57.0,70.0,84.0,-9.0,-1.0,8.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,5,2,20,25,9.06925,9.81475,18.884,-0.7455,5.0,9.0,13.0,6.0,10.0,14.0,13.0,19.0,25.0,-6.0,-1.0,5.0,43.87825,45.27975,85.56242556894321,-1.4015,36.0,44.0,53.0,36.0,45.0,54.0,71.4044255689432,85.4044255689432,99.5044255689431,-12.0,-1.0,9.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,6,2,25,30,8.71675,9.469,18.18575,-0.75225,5.0,9.0,13.0,6.0,9.0,14.0,12.0,18.0,24.0,-6.0,-1.0,4.0,52.595,54.74875,102.01863286381928,-2.15375,44.0,52.0,62.0,45.0,55.0,64.0,87.67488286381928,101.67488286381928,116.67488286381928,-14.0,-2.0,9.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,7,2,30,35,8.834,9.54425,18.37825,-0.71025,5.0,9.0,13.0,6.0,9.0,14.0,13.0,18.0,24.0,-6.0,-1.0,4.0,61.429,64.293,118.53376873012392,-2.864,52.0,61.0,71.0,54.0,64.0,74.0,102.81176873012392,118.81176873012392,134.81176873012393,-15.0,-3.0,9.0
2026-03-01,401812088,UNC Wilmington Seahawks,Charleston Cougars,2026-03-01 19:00,2026-03-02T00:00:00Z,EST,5.25,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,8,2,35,40,9.85125,10.63075,20.482,-0.7795,6.0,10.0,14.0,6.0,10.0,15.0,14.0,20.0,27.0,-6.0,-1.0,5.0,71.28025,74.92375,146.204,-3.6435,61.0,71.0,82.0,64.0,75.0,86.0,129.0,146.0,163.0,-17.0,-4.0,9.0
2026-03-01,401813308,Manhattan Jaspers,Iona Gaels,2026-03-01 14:00,2026-03-01T19:00:00Z,EST,2.5,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,1,1,0,5,7.617,9.133,16.75,-1.516,4.0,7.0,11.0,5.0,9.0,13.0,11.0,17.0,22.0,-7.0,-2.0,3.0,7.617,9.133,16.370813497088207,-1.516,4.0,7.0,11.0,5.0,9.0,13.0,10.620813497088209,16.62081349708821,21.62081349708821,-7.0,-2.0,3.0
2026-03-01,401813308,Manhattan Jaspers,Iona Gaels,2026-03-01 14:00,2026-03-01T19:00:00Z,EST,2.5,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,2,1,5,10,7.557,9.106,16.663,-1.549,4.0,7.0,11.0,5.0,9.0,13.0,11.0,16.0,22.0,-6.0,-2.0,3.0,15.174,18.239,32.60605556560499,-3.065,10.0,15.0,20.0,13.0,18.0,24.0,24.193055565604997,32.19305556560499,41.193055565604986,-10.0,-3.0,4.0
2026-03-01,401813308,Manhattan Jaspers,Iona Gaels,2026-03-01 14:00,2026-03-01T19:00:00Z,EST,2.5,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,3,1,10,15,7.92775,9.36,17.28775,-1.43225,5.0,8.0,12.0,6.0,9.0,13.0,12.0,17.0,23.0,-6.0,-1.0,4.0,23.10175,27.599,49.9496190626932,-4.49725,17.0,23.0,29.0,21.0,28.0,35.0,39.2488690626932,50.2488690626932,60.2488690626932,-13.0,-5.0,4.0
2026-03-01,401813308,Manhattan Jaspers,Iona Gaels,2026-03-01 14:00,2026-03-01T19:00:00Z,EST,2.5,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,4,1,15,20,8.021,9.681,17.702,-1.66,5.0,8.0,12.0,6.0,10.0,14.0,12.0,18.0,23.0,-7.0,-2.0,4.0,31.12275,37.28,68.40275,-6.15725,24.0,31.0,38.0,29.0,37.0,46.0,56.0,68.0,81.0,-15.0,-6.0,3.0
2026-03-01,401813308,Manhattan Jaspers,Iona Gaels,2026-03-01 14:00,2026-03-01T19:00:00Z,EST,2.5,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,5,2,20,25,8.01025,10.05875,18.069,-2.0485,4.0,8.0,12.0,6.0,10.0,14.0,12.0,18.0,24.0,-7.0,-2.0,3.0,39.133,47.33875,82.87617556894321,-8.20575,31.0,39.0,47.0,38.0,47.0,56.0,69.4044255689432,82.4044255689432,96.4044255689432,-19.0,-8.0,2.0
2026-03-01,401813308,Manhattan Jaspers,Iona Gaels,2026-03-01 14:00,2026-03-01T19:00:00Z,EST,2.5,spread,base,4,4,ed9c9f115c0a,39f4fa9202dc,6,2,25,30,7.67675,9.70275,17.3795,-2.026,4.0,7.0,11.0,6.0,10.0,14.0,12.0,17.0,23.0,-7.0,-2.0,3.0,46.80975,57.0415,98.52613286381929,-10.23175,38.0,47.0,56.0,47.0,57.0,67.0,83.67488286381928,98.67488286381928,113.67488286381928,-22.0,-10.0,1.0
