pair_key,home_team,away_team,our_start_iso,our_start_dt,sched_commence_time,sched_start_time,sched_dt,diff_minutes
airforce::southdakotacoyotes,South Dakota Coyotes,Air Force Falcons,2025-11-29T21:00:00Z,2025-11-29 21:00:00+00:00,,2025-11-29 21:00:00+00:00,2025-11-29 21:00:00+00:00,0.0
akron::milwaukee,Akron Zips,Milwaukee Panthers,2025-11-30T05:00:00Z,2025-11-30 05:00:00+00:00,,2025-11-30 00:00:00+00:00,2025-11-30 00:00:00+00:00,300.0
alcornstate::louisianatech,Louisiana Tech Bulldogs,Alcorn State Braves,2025-11-29T18:00:00Z,2025-11-29 18:00:00+00:00,,2025-11-29 18:00:00+00:00,2025-11-29 18:00:00+00:00,0.0
american::sienasaints,American University Eagles,Siena Saints,2025-11-29T21:00:00Z,2025-11-29 21:00:00+00:00,,2025-11-29 21:00:00+00:00,2025-11-29 21:00:00+00:00,0.0
arizona::norfolkstate,Arizona Wildcats,Norfolk State Spartans,2025-11-29T21:00:00Z,2025-11-29 21:00:00+00:00,,2025-11-29 21:00:00+00:00,2025-11-29 21:00:00+00:00,0.0
armyblack::manhattan,Army Black Knights,Manhattan Jaspers,2025-11-29T18:00:00Z,2025-11-29 18:00:00+00:00,,2025-11-29 18:00:00+00:00,2025-11-29 18:00:00+00:00,0.0
ballstate::lafayette,Lafayette Leopards,Ball State Cardinals,2025-11-29T21:30:00Z,2025-11-29 21:30:00+00:00,,2025-11-29 21:30:00+00:00,2025-11-29 21:30:00+00:00,0.0
bellarmine::northernillinois,Northern Illinois Huskies,Bellarmine Knights,2025-11-29T20:00:00Z,2025-11-29 20:00:00+00:00,,2025-11-29 20:00:00+00:00,2025-11-29 20:00:00+00:00,0.0
bethunecookman::indiana,Indiana Hoosiers,Bethune-Cookman Wildcats,2025-11-29T17:00:00Z,2025-11-29 17:00:00+00:00,,2025-11-29 17:00:00+00:00,2025-11-29 17:00:00+00:00,0.0
boston::northernkentucky,Northern Kentucky Norse,Boston University Terriers,2025-11-29T18:00:00Z,2025-11-29 18:00:00+00:00,,2025-11-29 18:00:00+00:00,2025-11-29 18:00:00+00:00,0.0
bryant::harvardcrimson,Harvard Crimson,Bryant Bulldogs,2025-11-29T19:00:00Z,2025-11-29 19:00:00+00:00,,2025-11-29 19:00:00+00:00,2025-11-29 19:00:00+00:00,0.0
buffalobulls::canisiusgolden,Canisius Golden Griffins,Buffalo Bulls,2025-11-29T23:00:00Z,2025-11-29 23:00:00+00:00,,2025-11-29 23:00:00+00:00,2025-11-29 23:00:00+00:00,0.0
californiabaptist::oregonstatebeavers,Oregon State Beavers,California Baptist Lancers,2025-11-30T08:00:00Z,2025-11-30 08:00:00+00:00,,2025-11-30 03:00:00+00:00,2025-11-30 03:00:00+00:00,300.0
californiariverside::utahtechtrailblazers,Utah Tech Trailblazers,UC Riverside Highlanders,2025-11-29T22:00:00Z,2025-11-29 22:00:00+00:00,,2025-11-29 22:00:00+00:00,2025-11-29 22:00:00+00:00,0.0
calpoly::redlands,Cal Poly Mustangs,Redlands Bulldogs,2025-11-30T05:00:00Z,2025-11-30 05:00:00+00:00,,2025-11-30 00:00:00+00:00,2025-11-30 00:00:00+00:00,300.0
calstfullerton::pepperdine,Cal State Fullerton Titans,Pepperdine Waves,2025-11-29T22:00:00Z,2025-11-29 22:00:00+00:00,,2025-11-29 22:00:00+00:00,2025-11-29 22:00:00+00:00,0.0
carolina::northcarolinacentral,North Carolina Central Eagles,Carolina University Bruins,2025-11-29T19:00:00Z,2025-11-29 19:00:00+00:00,,2025-11-29 19:00:00+00:00,2025-11-29 19:00:00+00:00,0.0
centralarkansas::easttennesseestate,East Tennessee State Buccaneers,Central Arkansas Bears,2025-11-29T21:00:00Z,2025-11-29 21:00:00+00:00,,2025-11-29 21:00:00+00:00,2025-11-29 21:00:00+00:00,0.0
colgateraiders::sunyoneontared,Colgate Raiders,SUNY-Oneonta Red Dragons,2025-11-29T22:00:00Z,2025-11-29 22:00:00+00:00,,2025-11-29 22:00:00+00:00,2025-11-29 22:00:00+00:00,0.0
